序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
193,丽水市,庆元县,闽江上游,闽江上游,6,1040,5.2148,2.6318,7.8466,4.487,18.78,30.243,53.51,0.099,21.423,0,21.522,0,0.9,8.1305,7.4899,4.44,0.36,0,4.8,2.01,0.105,0.105,0,0,0.0497,3.1684,3.2181,0.0666,0.1923,0.0043,0,,0,0.2632,0.0031,0,0,0.0031,0.015,0,0,0.015,0.2813,0,0.2027,0.005,0,0.2077,0,0.0005,0.0006,0,0,0.0001,0.0012,0.0024,0,0,0.0023,0.011,0,0.0136,0.0004,0.0027,0.0034,0.0061,0,0.0222,0.0112,0.0334,0.0027,0.0181,0,0.0181,0,0.2813,0.0031,0,0.2813
194,丽水市,景宁畲族自治县,瓯江温溪以上,小溪及瓯江青田段,6,1682.6,6.96,3.38,10.34,6.8171,22.1591,66.2571,95.2333,0,12.9111,0,12.9111,0,0,19.72,18.61,8.69,1.85,0,10.54,3.9,0.58,0.14,0,0,0.55,7.37,7.92,0.1435,0.2029,0,0,,0,0.3464,0,0,0,0,0.0122,0,0,0.0122,0.3586,0,0.2447,0.0185,0,0.2632,0,0.002,0.0009,0,0,0.0019,0.0032,0.008,0,0,0.0023,0.0062,0,0.0062,0,0.0021,0.0188,0.0209,0,0.0333,0.0139,0.0472,0,0.0131,0,0.0131,0,0.3586,0,0,0.3586
195,丽水市,景宁畲族自治县,瓯江温溪以下,飞云江,6,266.4,0,0.76,0.76,0.93,1.67,4.99,7.59,0,1.3889,0,1.3889,0,0,2.95,1.6127,0.75,0.16,0,0.91,0.08,0.02,0,0,0,0.07,1.3,1.37,0.0082,0.022,0,0,,0,0.0302,0,0,0,0,0,0,0,0,0.0302,0,0.0242,0.0018,0,0.026,0,0.0001,0,0,0,0.0002,0.0006,0.0009,0,0,0.0023,0.0007,0,0.0007,0,0,0,0,0,0,0.0026,0.0026,0,0,0,0,0,0.0302,0,0,0.0302
196,丽水市,龙泉市,富春江坝址以上,衢江下游,6,316.1,0.3253,0.164,0.4893,1.79,5.539,10.319,17.648,0,2.029,0,2.029,0,0,2.9667,2.7154,1.87,0.42,0,2.29,0.56,0,0,0,0,0,1.8488,1.8488,0.0386,0.0305,0.0049,0,,0,0.074,0,0,0,0,0,0,0,0,0.074,0,0.0543,0.0055,0,0.0598,0,0,0,0,0,0,0.0009,0.0009,0,0,0.0023,0.0028,0,0.0028,0,0,0.0036,0.0036,0,0.0015,0.0006,0.0021,0,0.0048,0,0.0048,0,0.074,0,0,0.074
197,丽水市,龙泉市,瓯江温溪以上,大溪,6,2438.8,16.5677,7.2771,23.8448,12.412,43.668,73.86,129.94,0.856,36.721,0,37.577,0,4.2,20.9961,18.4154,13.82,1.94,0,15.76,6.58,0,0,0,0.06,0.1022,12.8483,12.9505,0.3392,0.2572,0.0451,0,,0,0.6415,0.0004,0,0,0.0004,0.0189,0,0,0.0189,0.6608,0,0.4114,0.0245,0,0.4359,0,0,0,0,0.0024,0.0003,0.0044,0.0071,0,0,0.0082,0.0477,0,0.0559,0.0004,0.0087,0.0371,0.0458,0,0.0759,0.0283,0.1042,0,0.0119,0,0.0119,0,0.6608,0.0004,0,0.6608
198,丽水市,龙泉市,瓯江温溪以上,小溪及瓯江青田段,6,216.3,0.2695,0.11,0.3795,2.036,7.479,10.754,20.269,0,5.175,0,5.175,0,0,4.1514,3.3412,2.3,0.54,0,2.84,0.67,0,0,0,0,0.0307,1.3574,1.3881,0.0475,0.0386,0.0065,0,,0,0.0926,0,0,0,0,0,0,0,0,0.0926,0,0.0661,0.0069,0,0.073,0,0,0,0,0,0.0001,0.0005,0.0006,0,0,0,0.0066,0,0.0066,0,0.0037,0.0023,0.006,0,0.0012,0.0004,0.0016,0,0.0048,0,0.0048,0,0.0926,0,0,0.0926
199,丽水市,龙泉市,闽江上游,闽江上游,6,87.8,0.3275,0.1589,0.4864,1.554,5.864,8.257,15.675,0,1.471,0,1.471,0,0,3.1858,2.9836,2.09,0.39,0,2.48,0.41,0,0,0,0.07,0.0409,0.8425,0.8834,0.0445,0.0298,0.0056,0,,0,0.0799,0,0,0,0,0,0,0,0,0.0799,0,0.0609,0.005,0,0.0659,0,0,0,0,0.0024,0.0001,0.0004,0.0029,0,0,0,0.0018,0,0.0018,0,0,0.0072,0.0072,0,0.0015,0.0006,0.0021,0,0,0,0,0,0.0799,0,0,0.0799
,丽水市,,,,,104800.00000000001,4928.373000000004,1698.8249000000005,6627.197900000002,2330.5778999999998,33949.20219999999,45947.115100000025,82226.8952,775.3069000000002,23379.638699999992,5275.397400000002,29430.34299999999,34.5,5803.1451,2241.8566999999994,1861.1420999999998,1387.7193999999988,232.73499999999996,12.209999999999999,1632.6644,638.8170999999994,88.61339999999998,311.22890000000007,0,98.1164,23.169399999999996,3820.8464000000013,3844.0158000000015,68.79750000000004,26.4401,55.322800000000036,13.122699999999998,0,0,163.6831000000002,0.12080000000000003,0.0001,0,0.13289999999999996,3.9073999999999987,0.08020000000000001,1.7877,5.7802,169.60229999999999,43.74779999999999,58.13700000000002,3.0670000000000006,0.1528,61.35679999999998,0.018199999999999997,0.6052999999999993,2.0566000000000004,0,8.2361,0.06800000000000005,0.7667999999999996,11.71090000000001,0.0142,0.3624,4.361800000000005,24.238900000000005,7.439499999999998,36.26150000000003,0.042100000000000005,3.379100000000002,16.061299999999992,19.436999999999998,0.0174,26.216899999999992,7.957300000000002,34.17419999999999,0.04680000000000002,5.661699999999999,1.0002,6.661900000000003,0,169.60229999999999,0.13299999999999998,43.74779999999999,213.35010000000005
,丽水市,,,,,104800,4928.373000000004,1698.8249000000005,6627.197900000002,2330.5778999999998,33949.20219999999,45947.115100000025,82226.8952,775.3069000000002,23379.638699999992,5275.397400000002,29430.34299999999,34.5,5803.1451,2241.8566999999994,1861.1420999999998,1387.7193999999988,232.73499999999996,12.209999999999999,1632.6644,638.8170999999994,88.61339999999998,311.22890000000007,0,98.1164,23.169399999999996,3820.8464000000013,3844.0158000000015,68.79750000000004,26.4401,55.322800000000036,13.122699999999998,0,0,163.6831000000002,0.13289999999999996,0.0001,0,0.13299999999999998,3.9181999999999992,0.08020000000000001,1.7878,5.7862,169.60229999999999,43.74779999999999,58.13700000000002,3.0670000000000006,0.1528,61.35679999999998,0.018199999999999997,0.5855999999999993,2.0566000000000004,0,8.235100000000001,0.06760000000000005,0.7659999999999995,11.71090000000001,0.015300000000000001,0.3624,4.224100000000001,24.238900000000005,7.436099999999998,36.26150000000003,0.0387,3.379100000000002,16.057899999999993,19.436999999999998,0.013999999999999999,26.216899999999992,7.957300000000002,34.17419999999999,0.04680000000000002,5.661699999999999,1.0002,6.661900000000003,0,169.60229999999999,0.13299999999999998,43.74779999999999,213.35010000000005
,丽水市,,,,,0,0,0,0,经济社会数据与统计年鉴数据有出入，以统计年鉴为准,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01209999999999993,0,0,0.00010000000000001674,0.010800000000000587,0,9.999999999998899e-05,0.006000000000000227,0,0,0,0,0,0,0,-0.01969999999999994,0,0,-0.0009999999999994458,-0.0003999999999999976,-0.0008000000000001339,0,0.0011000000000000003,0,-0.13770000000000415,0,-0.0034000000000000696,0,-0.003400000000000007,0,-0.0033999999999991815,0,-0.0034000000000000002,0,0,0,0,0,0,0,0,0,0,0,0
丽水区,丽水,丽水市区供水区,丽水市区,,,1502,45.2,12.6,57.8,22.1435,170.3574,325.9609,518.4618,1.74,128.5,0,130.24,0,9.5,19.790000000000003,18.56,15.389999999999999,2.15,0,17.54,4.5,0,4.32,0,0.44,0.17,41.169999999999995,41.339999999999996,0.8701,0.6589,0.09119999999999999,0,,0,1.6202,0.0002,0,0,0.0002,0.025,0,0,0.025,1.6454,0,0.6147,0.0287,0,0.6434,0,0,0.0229,0,0.018500000000000003,0.0006000000000000001,0.018,0.06,0,0,0.032100000000000004,0.1978,0,0.2299,0.0002,0.063,0.23,0.293,0,0.2822,0.076,0.3582,0,0.0457,0.0152,0.0609,0,1.6454,0.0002,0,1.6454
,丽水,龙泉溪供水区,龙泉市,,,3059.0000000000005,17.49,7.71,25.2,17.792,62.55,103.19000000000001,183.532,0.856,45.396,0,46.251999999999995,0,4.2,31.299999999999997,27.4556,20.080000000000002,3.29,0,23.37,8.22,0,0,0,0.13,0.17379999999999998,16.897000000000002,17.0708,0.4698,0.35609999999999997,0.0621,0,,0,0.8879999999999999,0.0004,0,0,0.0004,0.0189,0,0,0.0189,0.9073,0,0.5927,0.0419,0,0.6345999999999999,0,0,0,0,0.0048,0.0005,0.0062,0.0115,0,0,0.0105,0.0589,0,0.06709999999999999,0.0004,0.0124,0.050199999999999995,0.0626,0,0.0801,0.0299,0.11000000000000001,0,0.0215,0,0.0215,0,0.9073,0.0004,0,0.9073
,丽水,,云和县,,,984,9.39,3.21,12.6,5.683999999999999,49.658,48.359,103.701,0,43.86,0,43.86,0,0,10.23,10.23,8.6144,1.0495999999999999,0,9.664,2.0700000000000003,0,0.582,0,0.03,0.1766,2.8505000000000003,3.0271,0.3995,0.0332,0.0005,0,,0,0.4332,0,0,0,0,0.0123,0,0,0.0123,0.4455,0,0.2824,0.006,0,0.2884,0,0,0.0031999999999999997,0,0.0013,0.0006000000000000001,0.0011,0.0062,0,0,0.0046,0.0322,0,0.0322,0,0.0034,0.0331,0.0365,0,0.0493,0.0149,0.06420000000000001,0,0.0145,0.0035,0.018,0,0.4455,0,0,0.4455
,丽水,松阴溪供水区,遂昌县,,,2539,11.116800000000001,8.1832,19.3,14.4558,74.3291,92.2844,181.0693,0,61.599999999999994,0,61.599999999999994,0,0,18.200000000000003,14.67,12.91,0.34,0,13.25,6.42,0.1005,0.8445,0,0.39,0.16,6.28,6.4399999999999995,0.42979999999999996,0.2851,0.0334,0,,0,0.7483,0,0,0,0,0.0153,0,0,0.0153,0.7636000000000001,0,0.4573,0.0039,0,0.46119999999999994,0,0.00039999999999999996,0.002,0,0.0195,0.0007999999999999999,0.0015,0.0242,0,0,0.0069,0.0877,0.033,0.1207,0,0.0074,0.044899999999999995,0.0523,0,0.0509,0.031,0.0819,0,0.0179,0.0054,0.0233,0,0.7636000000000001,0,0,0.7636000000000001
,丽水,,松阳县,,,1406,10.52,9.78,20.3,14.444,62.6901,76.8557,153.9898,0.13,51.1013,0,51.2313,0,1.5,11.68,11.68,9.7,1.98,0,11.68,4.05,0,2.72,0,0.1095,0.1616,5.1436,5.3052,0.2488,0.3135,0.0344,0,,0,0.5967,0.0003,0,0,0.0003,0.0092,0,0,0.0092,0.6062,0,0.298,0.015,0,0.313,0,0,0.0108,0,0.0049,0.0005,0.0028,0.019,0,0,0.0023,0.0748,0,0.0788,0.0003,0.0063,0.0555,0.0618,0,0.0621,0.0476,0.1097,0,0.0239,0,0.0239,0,0.6062,0.0003,0,0.6062
,丽水,好溪供水区,缙云县,,,1494,24.64,16.16,40.8,13.052999999999999,147.82500000000002,158.85600000000002,319.73400000000004,0.0417,117.9773,0,118.01899999999999,0,1.2,25.68,22.74,11.6,3.5140000000000002,0,15.114,4.92,0.15000000000000002,0.585,0,0.32,0.12329999999999999,17.2294,17.3527,0.5275000000000001,0.32139999999999996,0.1583,0,,0,1.0071999999999999,0,0,0,0,0.0095,0,0,0.0095,1.0167,0,0.5751000000000001,0.0535,0,0.6285999999999999,0,0.0006,0.0034,0,0.0141,0.00030000000000000003,0.0069,0.0253,0,0,0.0092,0.1113,0,0.1135,0,0.006500000000000001,0.0424,0.0489,0,0.1166,0.06480000000000001,0.1814,0,0.0156,0.0034000000000000002,0.019000000000000003,0,1.0167,0,0,1.0167
,丽水,小溪供水区,景宁县,,,1949,6.96,4.14,11.1,7.7471,23.829099999999997,71.24709999999999,102.8233,0,14.299999999999999,0,14.299999999999999,0,0,22.669999999999998,20.2227,9.44,2.0100000000000002,0,11.45,3.98,0.6,0.14,0,0,0.6200000000000001,8.67,9.29,0.1517,0.2249,0,0,,0,0.3766,0,0,0,0,0.0122,0,0,0.0122,0.3888,0,0.26890000000000003,0.0203,0,0.2892,0,0.0021,0.0009,0,0,0.0021,0.0038,0.0089,0,0,0.0046,0.0069,0,0.0069,0,0.0021,0.0188,0.0209,0,0.0333,0.0165,0.0498,0,0.0131,0,0.0131,0,0.3888,0,0,0.3888
,丽水,,青田县,,,2492.9999999999995,28.64,23.060000000000002,51.699999999999996,11.382100000000001,114.44500000000001,174.3595,300.1866,0.39,94.53999999999999,0,94.92999999999999,0,1.2,25.909999999999997,23.130000000000003,10.110000000000001,2.89,0,13,5.3999999999999995,0,1.26,0,0.03,0.35,21.99,22.34,0.4281,0.5827000000000001,0.013099999999999999,0,,0,1.0239,0,0,0,0,0.0298,0,0,0.0298,1.0537,0,0.49570000000000003,0.052599999999999994,0,0.5483,0,0,0.006799999999999999,0,0.0015,0.0012,0.0096,0.0191,0,0,0.0115,0.17109999999999997,0,0.1734,0,0.0183,0.0965,0.11479999999999999,0,0.1103,0.0753,0.1856,0,0.0125,0,0.0125,0,1.0537,0,0,1.0537
