日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量	累积时段
2026/03/19	4069.05	2958.5766	282.735	91.069	3332.380600000001	2510.56	864.9599999999999	3074.3446000000013	5584.9046	-3117.4839999999995	1070473.0	55923.22936460179	52805.745364601804	55954.4983646018	55954.4983646018	0.0	0.0	0.0	3148.7529999999992	0.0	0.0	1228862.0	0.0	31.269000000000233	31.269000000000233	1035581.5016353985	0.0	55954.4983646018	864.9599999999999	6449.8646	3332.380600000001	3301.1116	2026/03/03至2026/03/19
2026/03/20	5354.33	3135.0443999999998	299.01	96.426	3530.480400000001	2658.24	915.8399999999999	3255.1884000000014	5913.4284	-3298.7879999999996	1133442.0	59227.4992684019	55928.71126840191	59260.72626840191	59260.72626840191	0.0	0.0	0.0	3332.0149999999994	0.0	0.0	1301148.0	0.0	33.22700000000032	33.22700000000032	1096483.2737315984	0.0	59260.72626840191	915.8399999999999	6829.2684	3530.480400000001	3497.2534	2026/03/03至2026/03/20
2026/03/21	7533.9400000000005	3304.0512	349.146	101.783	3754.980200000001	2805.9199999999996	966.7199999999999	3436.0322000000015	6241.9522	-3453.6919999999996	1196411.0	62533.72717220201	59080.03517220201	62572.871172202016	62572.871172202016	0.0	0.0	0.0	3492.8359999999993	0.0	0.0	1373434.0	0.0	39.14400000000023	39.14400000000023	1157379.1288277982	0.0	62572.871172202016	966.7199999999999	7208.6722	3754.980200000001	3715.8362	2026/03/03至2026/03/21
2026/03/22	7537.820000000001	3472.611	380.14500000000004	107.14	3959.896000000001	2953.5999999999995	1017.5999999999999	3616.8760000000016	6570.476	-3628.1799999999994	1259380.0	65845.87207600211	62217.69207600212	65887.66907600212	65887.66907600212	0.0	0.0	0.0	3669.9769999999994	0.0	0.0	1445720.0	0.0	41.797000000000025	41.797000000000025	1218272.330923998	0.0	65887.66907600212	1017.5999999999999	7588.076	3959.896000000001	3918.099	2026/03/03至2026/03/22
2026/03/23	7591.950000000001	3642.8148	403.33200000000005	112.497	4158.643800000001	3101.2799999999993	1068.48	3797.7198000000017	6898.9998	-3808.8359999999993	1322349.0	69160.66997980222	65351.83397980222	69204.47897980222	69204.47897980222	0.0	0.0	0.0	3852.6449999999995	0.0	0.0	1518006.0	0.0	43.8090000000002	43.8090000000002	1279163.521020198	0.0	69204.47897980222	1068.48	7967.4798	4158.643800000001	4114.8348000000005	2026/03/03至2026/03/23
2026/03/24	9320.32	3807.5916	459.2340000000001	117.854	4384.6796	3248.959999999999	1119.3600000000001	3978.5636000000018	7227.5235999999995	-3962.2039999999993	1385318.0	72477.47988360233	68515.27588360233	72527.46188360233	72527.46188360233	0.0	0.0	0.0	4012.1859999999997	0.0	0.0	1590292.0	0.0	49.98199999999997	49.98199999999997	1340048.5381163978	0.0	72527.46188360233	1119.3600000000001	8346.8836	4384.6796	4334.6976	2026/03/03至2026/03/24
2026/03/25	9339.71	3972.9864000000002	494.55000000000007	123.211	4590.7474	3396.639999999999	1170.2400000000002	4159.407400000002	7556.0473999999995	-4135.539999999999	1448287.0	75800.46278740243	71664.92278740244	75853.28978740243	75853.28978740243	0.0	0.0	0.0	4188.366999999999	0.0	0.0	1662578.0	0.0	52.827000000000226	52.827000000000226	1400930.7102125976	0.0	75853.28978740243	1170.2400000000002	8726.2874	4590.7474	4537.920400000001	2026/03/03至2026/03/25
2026/03/26	11081.509999999998	4131.586200000001	562.557	128.568	4822.7112	3544.319999999999	1221.1200000000003	4340.2512000000015	7884.571199999999	-4282.979999999999	1511256.0	79126.29069120254	74843.31069120254	79186.27869120255	79186.27869120255	0.0	0.0	0.0	4342.967999999999	0.0	0.0	1734864.0	0.0	59.988000000000284	59.988000000000284	1461805.7213087976	0.0	79186.27869120255	1221.1200000000003	9105.6912	4822.7112	4762.723200000001	2026/03/03至2026/03/26
2026/03/27	12890.129999999997	4279.908	663.366	133.925	5077.199	3691.9999999999986	1272.0000000000005	4521.095000000001	8213.095	-4407.895999999999	1574225.0	82459.27959500265	78051.38359500264	82530.18259500265	82530.18259500265	0.0	0.0	0.0	4478.798999999999	0.0	0.0	1807150.0	0.0	70.90300000000025	70.90300000000025	1522669.8174049975	0.0	82530.18259500265	1272.0000000000005	9485.095	5077.199	5006.296000000001	2026/03/03至2026/03/27
2026/03/28	13014.009999999997	4435.660800000001	729.504	139.282	5304.4468	3839.6799999999985	1322.8800000000006	4701.938800000001	8541.6188	-4560.051999999999	1637194.0	85803.18349880275	81243.13149880274	85880.46149880276	85880.46149880276	0.0	0.0	0.0	4637.329999999999	0.0	0.0	1879436.0	0.0	77.27800000000025	77.27800000000025	1583527.5385011975	0.0	85880.46149880276	1322.8800000000006	9864.4988	5304.4468	5227.168800000001	2026/03/03至2026/03/28
2026/03/29	13963.009999999997	4593.0636	803.3520000000001	144.639	5541.0545999999995	3987.3599999999983	1373.7600000000007	4882.7826000000005	8870.142600000001	-4702.847999999999	1700163.0	89153.46240260286	84450.61440260285	89238.67540260286	89238.67540260286	0.0	0.0	0.0	4788.060999999999	0.0	0.0	1951722.0	0.0	85.21300000000019	85.21300000000019	1644377.3245973974	0.0	89238.67540260286	1373.7600000000007	10243.9026	5541.0545999999995	5455.841600000002	2026/03/03至2026/03/29
2026/03/30	15039.129999999997	4749.6324	888.3420000000001	149.996	5787.970399999999	4135.039999999998	1424.6400000000008	5063.6264	9198.666400000002	-4835.335999999999	1763132.0	92511.67630640297	87676.34030640296	92606.54230640297	92606.54230640297	0.0	0.0	0.0	4930.201999999998	0.0	0.0	2024008.0	0.0	94.86599999999999	94.86599999999999	1705217.4576935973	0.0	92606.54230640297	1424.6400000000008	10623.3064	5787.970399999999	5693.104400000002	2026/03/03至2026/03/30
2026/03/31	15039.129999999997	4912.3842	937.0410000000002	155.353	6004.778199999999	4282.719999999998	1475.520000000001	5244.4702	9527.190200000003	-4997.931999999999	1826101.0	95879.54321020308	90881.61121020306	95979.04421020308	95979.04421020308	0.0	0.0	0.0	5097.432999999998	0.0	0.0	2096294.0	0.0	99.5010000000002	99.5010000000002	1766052.9557897972	0.0	95979.04421020308	1475.520000000001	11002.7102	6004.778199999999	5905.277200000002	2026/03/03至2026/03/31
2026/04/01	15039.129999999997	5081.575000000001	967.3230000000002	160.71	6209.607999999999	4430.399999999999	1542.5300000000009	5425.313999999999	9855.714000000004	-5188.635999999999	1889070.0	99252.04511400318	94063.40911400317	99353.67911400319	99353.67911400319	0.0	0.0	0.0	5290.269999999999	0.0	0.0	2168580.0	0.0	101.63400000000001	101.63400000000001	1826886.3208859973	0.0	99353.67911400319	1542.5300000000009	11398.243999999999	6209.607999999999	6107.974000000002	2026/03/03至2026/04/01
2026/04/02	15039.129999999997	5253.9638	991.1190000000003	166.067	6411.149799999999	4578.079999999999	1609.5400000000009	5606.157799999999	10184.237800000004	-5382.627999999999	1952039.0	102626.68001780329	97244.05201780327	102730.17301780329	102730.17301780329	0.0	0.0	0.0	5486.120999999998	0.0	0.0	2240866.0	0.0	103.4930000000004	103.4930000000004	1887717.8269821971	0.0	102730.17301780329	1609.5400000000009	11793.777799999998	6411.149799999999	6307.6568000000025	2026/03/03至2026/04/02
2026/04/03	15039.129999999997	5380.9566	1011.0450000000003	171.424	6563.4256	4578.079999999999	1676.5500000000009	5787.001599999999	10365.081600000005	-5478.205999999999	2015008.0	106003.17392160339	100524.96792160338	106109.85772160339	106109.85772160339	0.0	0.0	0.0	5584.889799999998	0.0	0.0	2313152.0	0.0	106.68380000000025	106.68380000000025	1948546.142278397	0.0	106109.85772160339	1676.5500000000009	12041.631599999999	6563.4256	6456.7418000000025	2026/03/03至2026/04/03
