水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
,东南诸河,钱塘江,富春江坝址以上,,,,,金华市,8132.5,456.34999999999997,161.14000000000001,617.49,137.44975421507243,2195.972942642563,3686.7035662891844,6020.126362496858,16.785,1188.9081347307576,647.794,1853.4871347307578,0,304.675,184.9353,176.08530000000002,133.7477,29.422800000000002,0,163.1705,41.010000000000005,11.4336,32.1413,0,12.426800000000002,3.4274999999999998,135.5327,138.9602
,东南诸河,浙南诸河,瓯江温溪以下,,,,,金华市,345.1,0.19,2.06,2.25,4.7398708288944515,7.590004986247341,12.549943036614215,24.87992173526473,0,3.999999510475125,1.49,5.489999510475125,0,0,4.779999999999999,4.64,1.9900000000000002,2.14,0,4.13,0.8,0.05,0.56,0,0.06,0.009600000000000001,1.9385,1.9481
,东南诸河,浙南诸河,瓯江温溪以上,,,,,金华市,885.2,3.6700000000000004,6.12,9.79,4.359881184383926,25.660016857326323,59.57972957143226,89.599718146291,0,2.6499995051251264,2.9,5.549999505125126,0,0,7.56,7.49,5.340000000000001,1.3900000000000001,0,6.73,1.95,0.4589,1.9597,0,0.1298,0.1555,11.7368,11.8923
,,,,,,,婺城区,金华市,1392,79.54,18.66,98.19999999999999,17.619999999999997,298.18,555.87,871.67,2.7,198.17,35.56,236.43,0,22.125,28.240000000000002,28.240000000000002,23.7,2.3499999999999996,0,26.05,6.459999999999999,5.33,4.6899999999999995,0,1.98,1.58,28.22,29.799999999999997
,,,,,,,金东区,金华市,658,33.99,18.71,52.7,14.55,156.89,244.16,415.6,0,89.74,26.1,115.84,0,5.5,9.45,9.45,7.18,0.89,0,8.07,2.2,0.23,2.22,0,0.94,0.71,21.45,22.16
,,,,,,,武义县,金华市,1568,31.330000000000002,16.07,47.4,17.150000000000002,195.66,181.41,394.22,0.64,150.65,13.739999999999998,165.03,0,2.4,21.47,21.47,16.62,2.66,0,19.28,5.97,0.9878,4.1392,0,0.648,0.3137,28.759999999999998,29.073700000000002
,,,,,,,浦江县,金华市,918,30.44,16.46,46.9,12.190000000000001,130.78,177.27,320.24,1.38,71.44999999999999,35.47,108.3,0,6.3,12.91,12.91,9.45,2.2,0,11.65,2.45,0.35,6.220000000000001,0,0.15000000000000002,0.106,18.7,18.805999999999997
,,,,,,,磐安县,金华市,1195,10.01,7.89,17.900000000000002,15.07,53.19,86.55,154.81,0.25,28.020000000000003,10.49,38.760000000000005,0,0.6,15.16,14.73,6.32,6.8,0,13.120000000000001,2.53,0.15,1.59,0,0.16,0.0299,5.3804,5.4103
,,,,,,,兰溪市,金华市,1312,34.4,24,58.4,28.129999999999995,255.1,271.59000000000003,554.82,9.4,149.89,64.81,224.1,0,264,41.089999999999996,41.089999999999996,30.770000000000003,5.8999999999999995,0,36.67,8.149999999999999,1.0699999999999998,11.43,0,3.65,0.8200000000000001,35.69,36.51
,,,,,,,义乌市,金华市,1105,159.39,32.41,191.8,28.31,717.89,1757.31,2503.51,0.105,298.03499999999997,307.49,605.63,0,0.45,25.23,25.23,17.03,5.32,0,22.35,4.67,0.5929,5.903,0,1.4175,0.0273,25.5,25.527299999999997
,,,,,,,东阳市,金华市,1746.9999999999998,77.53,31.969999999999995,109.50000000000001,23.700000000000003,353.96,497.47999999999996,875.1400000000001,2.73,159.47000000000003,98.75,260.95000000000005,0,8.1,39.55,33.29,24.740000000000002,8.55,0,33.29,10.01,1.2500000000000002,5.14,0,3.0399999999999996,0.14,10.299999999999999,10.44
,,,,,,,永康市,金华市,1047,68.38000000000001,29.72,98.1,10.25,425.24,400.03999999999996,835.53,0.96,202.17,174.92,378.05,0,1.5,28.43,25.43,21.69,3.3299999999999996,0,25.02,6.050000000000001,2.79,3.42,0,1.4800000000000002,0.05,4.83,4.880000000000001
