序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
21,杭州市,淳安县,富春江坝址以下,富春江下游段,3,0.0,66.3,0,0.49,0.49,0.78,1.28,2.81,4.87,0,0,0,0,0,0,0.7,0.7,0.37,0.18,0,0.55,0.17,0,0.13,0,0,0,0.11,0.11,0,0.0217,0.0021,0,,0,0.0238,0,0,0,0,0,0,0,0,0.0238,0,0.0189,0.0019,0,0.0208,0,0,0.0003,0,0,0,0.0001,0.0004,0,0,0.0023,0,0,0,0,0,0,0,0,0,0.0026,0.0026,0,0,0,0,0,0.0238,0,0,0.0238,0,0,0
22,杭州市,钱塘区,杭嘉湖平原,杭嘉湖平原,1,0.0,104.7,49.53,0,49.53,0.33,523.33,301.47,825.13,1.7,466.29,38.01,506,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.8769,钱塘江,0,0.8786,0,0,0,0,0,0,0,0,0.8786,1.2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217,0.3748,0.0188,0.4153,0,0.0264,0.1142,0.1406,0,0.2901,0,0.2901,0,0.0326,0,0.0326,0,0.8786,0,1.2006,2.0792,0,0,0
23,杭州市,钱塘区,富春江坝址以下,萧绍平原,2,0.0,427,21.08,9.09,30.17,12.39,299.98,88.54,400.91,11.07,243.88,13.09,268.04,0,125.4446,11.83,11.83,9.99,1.84,0,11.83,3.35,0,2.26,0,1.1,0.15,8.83,8.98,0,0.7179,1.1279,0,,0,1.8458,0,0,0,0,0.0623,0,0,0.0623,1.9081,0,0.5972,0.0555,0,0.6527,0,0,0.0306,0,0.11,0.0005,0.0048,0.1459,0,0,0.1414,0.5493,0.1035,0.7942,0,0.0179,0.0929,0.1108,0,0.1231,0.0514,0.1745,0,0.02,0.01,0.03,0,1.9081,0,0,1.9081,0,0,0
24,杭州市,建德市,富春江坝址以上,衢江下游,3,0.0,78.3,0.71,0.62,1.33,1.73,9.4,7.42,18.55,0,6.71,0.35,7.06,0,0,1.63,1.63,1.01,0.27,0,1.28,0.38,0.04,0.34,0,0.03,0,2.74,2.74,0.0398,0,0.0438,0,,0,0.0836,0,0,0,0,0,0,0,0,0.0836,0,0.0504,0.0028,0,0.0532,0,0.0003,0.0009,0,0.0022,0,0.0012,0.0046,0,0,0,0.0113,0,0.0113,0,0.0004,0.0069,0.0073,0,0.0039,0.003,0.0069,0,0.0003,0,0.0003,0,0.0836,0,0,0.0836,0,0,0
25,杭州市,建德市,富春江坝址以上,新安江,3,0.0,1326.1,18.53,16.13,34.66,29.27,156.99,123.72,309.98,8.07,103.75,18.05,129.87,0,0.24,20.64,20.64,12.82,3.38,0,16.2,5.16,0.4,10.09,0,0.67,0.38,47.95,48.33,0.5263,0.0802,0.8983,0,,0,1.5048,0.0131,0,0,0.0131,0.0289,0,0,0.0289,1.5468,0,0.6931,0.039,0,0.7321,0,0.0032,0.024,0,0.052,0.0011,0.021,0.1013,0,0,0.0201,0.2926,0,0.3127,0.0131,0.0214,0.1772,0.1986,0,0.1025,0.0762,0.1787,0,0.0234,0,0.0234,0,1.5468,0.0131,0,1.5468,0,0,0
26,杭州市,建德市,富春江坝址以上,兰江及富春江上游段,3,0.0,871.1,4.28,3.69,7.97,8.88,47.85,37.75,94.48,0,36.45,6.43,42.88,0,0,5.44,5.44,3.38,0.89,0,4.27,1.42,0.22,2.69,0,0.4,0.03,17.35,17.38,0.1504,0.0265,0.2335,0,,0,0.4104,0,0,0,0,0,0,0,0,0.4104,0,0.1831,0.0095,0,0.1926,0,0.0017,0.0077,0,0.033,0.0001,0.0076,0.0501,0,0,0,0.0723,0,0.0723,0,0.0108,0.0408,0.0516,0,0.0236,0.0176,0.0412,0,0.0026,0,0.0026,0,0.4104,0,0,0.4104,0,0,0
27,杭州市,建德市,富春江坝址以下,富春江下游段,3,0.0,88.5,0.34,0.3,0.64,1.04,5.36,4.14,10.54,0,4.11,0.79,4.9,0,0,0.55,0.55,0.34,0.09,0,0.43,0.15,0.03,0.33,0,0.05,0,2.28,2.28,0.0323,0,0.0067,0,,0,0.039,0,0,0,0,0,0,0,0,0.039,0,0.0183,0.0009,0,0.0192,0,0.0002,0.0008,0,0.0048,0,0.001,0.0068,0,0,0,0.0059,0,0.0059,0,0.0003,0.0033,0.0036,0,0.0019,0.0014,0.0033,0,0.0002,0,0.0002,0,0.039,0,0,0.039,0,0,0
,杭州,"钱塘河口供水区
（江北片）",江北主城区,,,,896.0000000000001,519.17,15.06,534.23,21.21,2073.79,6322.7300000000005,8417.73,9.64,1573.36,198.42999999999998,1781.43,0,258.4,12.74,12.74,10.49,1.28,0,11.77,3.29,2.49,7.590000000000001,0,1.64,0,3.41,3.41,0,0.181,1.2432,6.0348,,0,7.459,0.0002,0.0002,0.0002,0.0002,0.2957,0.0077,0,0.3034,7.762600000000001,16.7489,0.4431,0.0136,0,0.4567,0,0.0249,0.021599999999999998,0,0.3103,0,0.0025,0.35930000000000006,0,0,0.0802,0.7276,0.1188,0.9266000000000001,0.0002,0.41969999999999996,2.0257,2.4454000000000002,0,3.0169999999999995,0.0834,3.1004000000000005,0,0.4549,0.0193,0.4742,0,7.762600000000001,0.0002,16.7489,24.5115,0,0,0
,杭州,,余杭区,,,,936,101.07,35.33,136.4,41.83,339.26,2270.16,2651.25,0.26,242.35999999999999,51.82,294.44,0,80,19.369999999999997,19.369999999999997,17.4,1.97,0,19.369999999999997,8.47,6.42,10.31,0,2.18,0.02,23.05,23.07,0.1079,0.5213,0.9879,1.6651,,0,3.2822,0,0,0,0,0.074,0,0,0.074,3.3562,0,1.0478,0.049100000000000005,0,1.0969,0,0.08,0.0516,0,0.1419,0.0001,0.0168,0.2904,0,0,0.0034,0.2443,0,0.246,0,0.0999,0.7336,0.8335,0,0.5672999999999999,0.1905,0.7578,0,0.0468,0.0848,0.1316,0,3.3562,0,0,3.3562,0,0,0
,杭州,临安供水区,临安区,,,,3124,39.46,25.34,64.80000000000001,47,341.11,284.24,672.35,1.09,250.84,43.5,295.43,0,3.7,23.14,23.14,16.53,3.5199999999999996,0,20.05,3.99,1.26,9.030000000000001,0,0.15000000000000002,0.31,22.619999999999997,22.93,0.7732,1.0132,0.0785,0.2088,,0,2.0737,0.0002,0,0,0.0002,0.032,0.003,0,0.035,2.1089,0,0.9826,0.0766,0,1.0592000000000001,0,0.0062,0.0233,0,0.0135,0.0009,0.0103,0.0542,0,0,0.0086,0.1549,0.0149,0.1784,0.0002,0.0786,0.2648,0.3434,0,0.22469999999999998,0.1384,0.3631,0,0.0767,0.0339,0.1106,0,2.1089,0.0002,0,2.1089,0,0,0
,杭州,"钱塘河口供水区
（江南片）",萧山区,,,,736,171.11999999999998,39.88,211,59.28,800.74,1203.93,2063.95,23.09,550.5699999999999,134.74,708.4,0,158.79999999999998,28.1,28.1,25.02,3.08,0,28.1,7.25,1.82,6.96,0,6.2,0.25,62.879999999999995,63.129999999999995,0,1.5164000000000002,3.5383999999999998,0,,0,5.0548,0,0,0,0,0.0892,0,0,0.0892,5.144,9.030899999999999,1.3553,0.077,0,1.4323000000000001,0,0.008,0.0401,0,0.434,0.0007,0.024300000000000002,0.5071,0,0,0.0789,0.9783999999999999,0.15200000000000002,1.2093,0,0.2115,0.4478,0.6593,0,0.9777,0.2259,1.2036,0,0.1033,0,0.1324,0,5.144,0,9.030899999999999,14.1749,0,0,0
,杭州,,钱塘区,,,,427,21.08,9.09,30.17,12.39,299.98,88.54,400.91,11.07,243.88,13.09,268.04,0,125.4446,11.83,11.83,9.99,1.84,0,11.83,3.35,0,2.26,0,1.1,0.15,8.83,8.98,0,0.7179,1.1279,0,,0,1.8458,0,0,0,0,0.0623,0,0,0.0623,1.9081,0,0.5972,0.0555,0,0.6527,0,0,0.0306,0,0.11,0.0005,0.0048,0.1459,0,0,0.1414,0.5493,0.1035,0.7942,0,0.0179,0.0929,0.1108,0,0.1231,0.0514,0.1745,0,0.02,0.01,0.03,0,1.9081,0,0,1.9081,0,0,0
,杭州,,滨江区,,,,73,53,0,53,0.54,848.99,1335.27,2184.8,0,756.38,74.11,830.49,0,0,0.22,0.22,0.01,0.04,0,0.05,0.1,0,0.84,0,0.08,0,0,0,0,0.0143,0.7912,0,,0,0.8055,0,0,0,0,0,0,0,0,0.8055,1.4829,0.0005,0.0015,0,0.002,0,0,0.0031,0,0.0075,0,0,0.0106,0,0,0,0.0982,0,0.0982,0,0.0978,0.2395,0.3373,0,0.3071,0,0.3071,0,0.0503,0,0.0503,0,0.8055,0,1.4829,2.2884,0,0,0
,杭州,富春江干流供水区,富阳区,,,,1808,61.269999999999996,23.83,85.10000000000001,52.83,415.69,448.87,917.39,0,285.65,69.98,355.63,0,0,24.96,24.96,18.48,6.48,0,24.96,10.090000000000002,1.28,13.45,0,3.43,1,22.62,23.62,0.028900000000000002,0.9983,1.9032,0,,0,2.9304,0.0006,0,0,0.0006,0.077,0,0,0.077,3.008,1.0596,1.0804,0.1668,0,1.2472,0,0.0072,0.0354,0,0.3432,0.0029,0.0165,0.4052,0,0,0.0034,0.295,0.1471,0.4421,0.0006,0.0824,0.26080000000000003,0.3432,0,0.32830000000000004,0.12140000000000001,0.4497,0,0.0788,0.0418,0.1206,0,3.008,0.0006,1.0596,4.0676,0,0,0
,杭州,,桐庐区,,,,1780,32.52,13.28,45.8,27.619999999999997,202.17,201.63,431.41999999999996,0,123.27,35.69,158.96,0,2.55,16.87,16.87,11.98,2.38,0,14.360000000000001,4.79,1.6700000000000002,19.95,0,1,0.22,9.4,9.62,0.48109999999999997,0.5155000000000001,0.6053999999999999,0,,0,1.602,0.0055000000000000005,0,0,0.0055000000000000005,0.0287,0.0002,0,0.0289,1.6363999999999999,0,0.7077,0.0246,0,0.7323,0,0.0192,0.055,0,0.138,0.0006000000000000001,0.0060999999999999995,0.2189,0,0,0.0046,0.1451,0.0605,0.2104,0.0016,0.0506,0.1128,0.1634,0.0008,0.1814,0.0703,0.2517,0.0031,0.056,0.0036999999999999997,0.059699999999999996,0,1.6363999999999999,0.0055000000000000005,0,1.6363999999999999,0,0,0
,杭州,新安江干流供水区,淳安区,,,,4452,16.48,16.02,32.5,42.36,71.28999999999999,155.85999999999999,269.51,0.11,34.6,9.58,44.29,0,0.75,15.09,15.09,7.95,4.01,0,11.96,4.5600000000000005,1.23,8.920000000000002,0,0.01,0.01,6.180000000000001,6.19,0.8651,0.5155000000000001,0.0559,0,,0,1.4364999999999999,0,0,0,0,0.0267,0,0,0.0267,1.4631999999999998,0,0.43400000000000005,0.0417,0,0.4757,0,0.003,0.020700000000000003,0,0.0576,0.0001,0.0057,0.0871,0,0,0.0069,0.0875,0.028,0.1174,0,0.019,0.563,0.582,0,0.0939,0.0869,0.1808,0,0.0177,0.0025,0.0202,0,1.4631999999999998,0,0,1.4631999999999998,0,0,0
,杭州,,建德区,,,,2364,23.860000000000003,20.740000000000002,44.599999999999994,40.92,219.60000000000002,173.02999999999997,433.55000000000007,8.07,151.02,25.62,184.71,0,0.24,28.26,28.26,17.55,4.63,0,22.18,7.11,0.6900000000000001,13.45,0,1.1500000000000001,0.41000000000000003,70.32000000000001,70.73,0.7488,0.10669999999999999,1.1823,0,,0,2.0378,0.0131,0,0,0.0131,0.0289,0,0,0.0289,2.0798,0,0.9449000000000001,0.052199999999999996,0,0.9971,0,0.005399999999999999,0.033400000000000006,0,0.092,0.0012000000000000001,0.0308,0.1628,0,0,0.0201,0.3821,0,0.4022,0.0131,0.032900000000000006,0.2282,0.2611,0,0.13190000000000002,0.09820000000000001,0.2301,0,0.026500000000000003,0,0.026500000000000003,0,2.0798,0.0131,0,2.0798,0,0,0
