水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
,东南诸河,浙南诸河,瓯江温溪以下,,,,,丽水市,520.1,6.35,4.0665,10.416500000000001,4.004855883683205,22.0893613231939,46.28071312280561,72.37493971437338,0,21.34998206105594,0,21.34998206105594,0,0,7.3792,4.5592,2.439,0.32899999999999996,0,2.768,0.86,0.02,0.28,0,0,0.10210000000000001,5.102399999999999,5.2045
,东南诸河,浙南诸河,瓯江温溪以上,,,,,丽水市,12964.5,143.003,69.4408,212.44379999999998,92.91185653023764,649.5060031206056,1090.4173091856933,1832.8348733168793,3.2353,531.7007616443127,0,534.9360616443128,0,17.599999999999998,138.34570000000002,127.55090000000001,83.1998,14.619999999999997,0,97.8198,33.88999999999999,0.7283999999999999,9.6055,0,1.0795000000000001,1.2057,106.24944678571428,107.45514678571429
,东南诸河,闽东诸河,闽东诸河,,,,,丽水市,247.3,1.3144,0.4398,1.7542,1.5429444765351275,4.3490120734731414,9.328002644936888,15.21998732231797,0,0,0,0,0,0,2.7943,2.5727,1.2,0.209,0,1.409,0.5,0,0,0,0,0,1.061,1.061
,东南诸河,闽江,闽江上游,,,,,丽水市,1127.8,5.7006,2.6285,8.3291,6.660760309916062,27.27107570836653,43.90601244946387,77.83793516390183,0.155,25.13321564417384,0,25.288215644173842,0,0.9,11.331199999999999,10.4735,6.53,0.75,0,7.280000000000001,2.39,0.105,0.105,0,0.07,0.0817,4.8141,4.8958
,,,,,,,莲都区,丽水市,1502,45.59,12.28,57.87,22.808876422153375,184.72505379276149,389.32360032593533,596.8575305408502,2.0020000000000002,147.8521,0,149.8541,0,9.5,19.93,18.56,15.389999999999999,2.15,0,17.54,4.32,0,4.32,0,0.44,0.1447,39.400000000000006,39.5447
,,,,,,,青田县,丽水市,2492.9999999999995,29.42,22.33,51.75000000000001,12.09470971915837,107.50923387950105,200.39057118104364,319.994514779703,0.3696,89.5866,0,89.9562,0,1.2,26.17,23.130000000000003,10.109,2.889,0,12.998000000000001,5.53,0,1.26,0,0.03,0.23720000000000002,23.349700000000002,23.586900000000004
,,,,,,,缙云县,丽水市,1494,25.3659,15.494100000000001,40.86,13.846999999999998,144.741,183.837,342.425,0.11,116.772,0,116.882,0,1.2,25.79,22.74,11.6,3.5140000000000002,0,15.114,4.859999999999999,0.15000000000000002,0.585,0,0.32,0.11730000000000002,17.4864,17.6037
,,,,,,,遂昌县,丽水市,2539,11.519200000000001,7.8408,19.36,15.329999999999998,72.11,106.91,194.35,0,58.68,0,58.68,0,0,18.29,14.67,12.9068,0.3386,0,13.2454,6.559999999999999,0.1005,0.8445,0,0.39,0.166,9.566,9.732
,,,,,,,松阳县,丽水市,1406,10.8976,9.4224,20.32,14.890096809278361,77.27533540976144,81.41454508656889,173.5799773056087,0.177,61.08050646176374,0,61.25750646176374,0,1.5,11.78,11.68,10.33,1.35,0,11.68,4.27,0,2.72,0,0.1095,0.1559,8.006946785714286,8.162846785714287
,,,,,,,云和县,丽水市,984,9.52,3.12,12.64,6.2090000000000005,56.329,55.835,118.373,0,47.418,0,47.418,0,0,10.42,10.23,8.6144,1.0495999999999999,0,9.664,2.1799999999999997,0,0.582,0,0.03,0.1532,2.9299,3.0831
,,,,,,,庆元县,丽水市,1898,9.7442,4.3758,14.12,9.358999999999998,36.938,68.124,114.42099999999999,0.155,26.532,0,26.687,0,0.9,17.4,16.02,8.97,1.149,0,10.119,3.77,0.105,0.105,0,0,0.1277,6.7444,6.8721
,,,,,,,景宁畲族自治县,丽水市,1949,7.14,3.9400000000000004,11.08,8.054461748668837,32.154772007593,79.48902645716696,119.6982602134288,0,19.8975,0,19.8975,0,0,22.720000000000002,20.2227,9.440000000000001,2.0100000000000002,0,11.45,4.14,0.6,0.135,0,0,0.2961,5.75,6.0461
,,,,,,,龙泉市,丽水市,3059.0000000000005,17.829,7.3709999999999996,25.2,18.673999999999996,75.653,107.157,201.48399999999998,0.5767,57.1733,0,57.75,0,4.2,31.4,27.4556,20.080000000000002,3.29,0,23.37,8.299999999999999,0,0,0,0.13,0.1555,18.1295,18.285
