序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
20,杭州市,建德市,富春江坝址以上,衢江下游,3,78.3,0.1,2,2.1,1.5,7.9,7,16.4,0,4.9,0.4,5.3,0,0,2.65,1.1002,1.01,0.06,0.03,1.0999,0.36,0.04,0.26,0,0.0788,0,2.8364,2.8364,0,0.0579,0.0276,0,0,0,0.0855,0,0,0,0,0,0,0,0,0.0855,0,0.0451,0.0008,0.0004,0.0463,0,0.0005,0.0033,0,0.0066,0,0.0012,0.0116,0,0,0,0.0108,0.0064,0.0172,0,0.0007,0.0004,0.0011,0,0.0005,0.0084,0.0089,0,0.0004,0,0.0004,0,0.0855,0,0,0.0855,0.0855,0.0855,0,,,
21,杭州市,建德市,富春江坝址以上,新安江,3,1326.1,16.2,15.8,32,25.4,131.9,116.7,274,0,81.6,20.5,102.1,0,0,26.18,17.0737,14.2301,0.44,0.32,14.99,4.89,0.19,1.41,0,0.4374,0.0827,23.3372,23.4199,0.4121,0.2491,0.7003,0,0,0,1.3615,0.0169,0.0002,0,0.0171,0.0281,0,0,0.0281,1.4067,0,0.6289,0.0061,0.0048,0.6398,0,0.0026,0.0177,0,0.0365,0.0003,0.0095,0.0666,0,0,0,0.2392,0.1245,0.3637,0.0169,0.0309,0.1287,0.1596,0.0002,0.0857,0.0805,0.1662,0,0.0108,0,0.0108,0,1.4067,0.0171,0,1.4067,1.4066999999999998,1.4066999999999998,0,,,
22,杭州市,建德市,富春江坝址以上,兰江及富春江上游段,3,871.1,4.1,5.3,9.4,7.7,40.2,35.6,83.5,0,26.6,7.3,33.9,0,0,9.87,4.861,3.94,0.11,0.08,4.1301,1.35,0.11,0.56,0,0.323,0,10.6595,10.6595,0.0014,0.212,0.2117,0,0,0,0.4251,0,0,0,0,0,0,0,0,0.4251,0,0.1707,0.0016,0.0013,0.1736,0,0.0015,0.007,0,0.027,0,0.0043,0.0398,0,0,0,0.0869,0.0352,0.1221,0,0.0073,0.0358,0.0431,0,0.021,0.0242,0.0452,0,0.0013,0,0.0013,0,0.4251,0,0,0.4251,0.4251000000000001,0.4251,0,,,
23,杭州市,建德市,富春江坝址以下,富春江下游段,3,88.5,0.1,1.1,1.2,0.9,4.5,3.9,9.3,0,3,0.9,3.9,0,0,0.93,0.6501,0.36,0.04,0.02,0.42,0.14,0.04,0.26,0,0.0788,0,5.9503,5.9503,0,0.0294,0.0203,0,0,0,0.0497,0,0,0,0,0,0,0,0,0.0497,0,0.0158,0.0005,0.0003,0.0166,0,0.0005,0.0033,0,0.0066,0,0.0024,0.0128,0,0,0,0.0088,0.0057,0.0145,0,0.0002,0.0002,0.0004,0,0.0005,0.0047,0.0052,0,0.0002,0,0.0002,0,0.0497,0,0,0.0497,0.0497,0.0497,0,,,
24,杭州市,淳安县,富春江坝址以上,衢江上游,3,16.4,0,0.2,0.2,0.1,0.3,0.5,0.9,0,0,0,0,0,0,0.09,0.08,0.06,0,0.02,0.08,0.03,0,0.04,0,0,0,0.1001,0.1001,0.0008,0.0037,0,0,0,0,0.0045,0,0,0,0,0,0,0,0,0.0045,0,0.0027,0,0.0005,0.0032,0,0,0.0004,0,0,0,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0045,0,0,0.0045,0.0045000000000000005,0.0045,0,,,
25,杭州市,淳安县,富春江坝址以上,新安江,3,4369.3,16.2,18.8,35,37.3,76.3,135.4,249,0,31.9,17.9,49.8,0,0,26.49,13.83,8.62,1.12,1.68,11.42,3.87,0.03,1.75,0,0.2519,0.0747,27.2658,27.3405,0.7826,0.4714,0.0144,0,0,0,1.2684,0,0,0,0,0.0302,0,0,0.0302,1.2986,0,0.4076,0.0166,0.0281,0.4523,0,0.0004,0.0179,0,0.0151,0.0003,0.0156,0.0493,0,0,0,0.1097,0.0362,0.1459,0,0.0281,0.4368,0.4649,0,0.0887,0.0831,0.1718,0,0.0144,0,0.0144,0,1.2986,0,0,1.2986,1.2986,1.2986,0,,,
26,杭州市,淳安县,富春江坝址以下,富春江下游段,3,66.3,0,0.6,0.6,0.7,1.4,2.5,4.6,0,0,0,0,0,0,0.83,0.61,0.43,0.02,0.01,0.46,0.15,0,0.02,0,0,0,0.2602,0.2602,0.0025,0.0213,0,0,0,0,0.0238,0,0,0,0,0,0,0,0,0.0238,0,0.0205,0.0003,0.0002,0.021,0,0,0.0002,0,0,0,0.0001,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0,0,0,0,0,0.0238,0,0,0.0238,0.0238,0.0238,0,,,
1,杭州市,,,,,16596,875.32,279.2800000000001,1154.6,409.11999999999995,5312.839999999998,10434.699999999999,16156.659999999998,0,3858.38,853.8799999999999,4712.36,0,556.1999999999999,398.65999999999997,295.27399999999994,246.8857,12.64,16.4745,276.00000000000006,60.760000000000005,13.399999999999995,10.98,0,22.594200000000004,2.2245000000000004,375.9562,378.1807,2.3595,9.4889,13.080300000000001,5.0902,0,0,30.0189,0.0331,0.0004,0,0.0335,0.9111,0.0003,0,0.9114,30.963800000000003,27.202,8.560500000000001,0.1237,0.2019,8.8861,0,0.1285,0.12150000000000001,0,1.7166999999999997,0.0055000000000000005,0.20929999999999999,2.1815000000000007,0.0005,0,0.4065,5.8282,1.4377,7.672399999999999,0.025099999999999997,0.8031999999999999,4.937000000000001,5.740199999999999,0.0022,4.5076,1.0747,5.5823,0.0057,0.7825,0.11879999999999998,0.9013,0,30.963800000000003,0.0335,27.202,58.165800000000004,,,,,,
,杭州,"钱塘河口供水区
（江北片）",江北主城区,,,610,359,2.5,361.5,3.8,1343.7,4731,6045.2,0,1023.6,91.7,1115.3999999999999,0,268,9.36,4.6,2.7801,0.26,0.92,3.96,0.13,1.81,0.04,0,0.8565,0.02,0,0.02,0.10200000000000001,0.2514,0.4603,4.8981,0,0,5.7118,0,0.0002,0,0.0002,0.4727,0,0,0.4727,6.1847,9.5991,0.13369999999999999,0.0034000000000000002,0.014400000000000001,0.1515,0,0.0258,0.0005,0,0.0735,0.0001,0,0.09989999999999999,0,0,0.0463,1.1356,0.0741,1.256,0.0002,0.185,2.3268,2.5118,0,1.9341,0.0308,1.9648999999999999,0,0.20060000000000003,0,0.20060000000000003,0,6.1847,0.0002,9.5991,15.7838,"钱塘河口供水区
（江北片）",江北主城区,0,0.0,0.7117,10.3108
,杭州,,余杭区,,,1222,136.7,52.4,189.10000000000002,53.3,652.3,2118.5,2824,0,454.70000000000005,149.3,604,0,11.2,48.92,40.339999999999996,33.129999999999995,3.41,3.8,40.34,11.31,8.52,1.6400000000000001,0,6.975,0.0344,51.4544,51.4888,0.1461,1.6597,3.1449999999999996,0.1921,0,0,5.1429,0.0006,0,0,0.0006,0.1532,0,0,0.1532,5.2967,5.6927,1.4536,0.0426,0.0615,1.5577,0,0.08,0.022,0,0.45940000000000003,0.0001,0.0325,0.594,0.0005,0,0.0009,0.9347,0.173,1.1086,0.0001,0.08789999999999999,0.7858,0.8737,0,0.7154,0.22169999999999998,0.9371,0,0.19479999999999997,0.0308,0.2256,0,5.2967,0.0006,5.6927,10.9894,,余杭区,0,0.0,4.8046999999999995,10.497399999999999
