序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
126,金华市,东阳市,富春江坝址以下,浦阳江,3,18.6,0,0.44,0.44,0.25,1.59,2.6,4.44,0,0.61,0.4,1.01,0,0,0.48,0.41,0.3,0.11,0,0.41,0.12,0.01,0.06,0,0.03,0,0.2,0.2,0.0237,0,0,0,,0,0.0237,0,0,0,0,0,0,0,0,0.0237,0,0.0159,0.0008,0,0.0167,0,0,0.0003,0,0.0014,0,0.0001,0.0018,0,0,0.0021,0.0011,0.0005,0.0016,0,0.0001,0.0011,0.0012,0,0,0.0019,0.0019,0,0,0.0005,0.0005,0,0.0237,0,0,0.0237
127,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,166.5,0,0.85,0.85,1.89,8.52,8.76,19.17,0,0.5,0.33,0.83,0,0,2.95,2.44,1.82,0.62,0,2.44,0.73,0.1,0.38,0,0.29,0,1.03,1.03,0.093,0.0349,0.002,0,,0,0.1299,0,0,0,0,0,0,0,0,0.1299,0,0.0994,0.0044,0,0.1038,0,0.0006,0.0019,0,0.0153,0,0.0006,0.0184,0,0,0.0021,0.0008,0.0004,0.0012,0,0.0001,0.0018,0.0019,0,0,0.0035,0.0035,0,0,0.0011,0.0011,0,0.1299,0,0,0.1299
128,金华市,东阳市,瓯江温溪以上,大溪,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,金华市,永康市,富春江坝址以上,金华江上游,3,92.6,0,2.49,2.49,0.8,10.51,14.46,25.77,0,4.52,4.34,8.86,0,0,2.3,2.06,1.75,0.27,0,2.02,0.49,0.21,0.28,0,0.13,0,0.33,0.33,0.0787,0.0045,0.0059,0,,0,0.0891,0.0001,0,0,0,0,0,0,0,0.0892,0,0.045,0.0013,0,0.0463,0,0.001,0.0017,0,0.0118,0,0.0003,0.0148,0.0001,0,0.0021,0,0.0061,0.0061,0,0.0002,0.0041,0.0043,0,0,0.0119,0.0119,0,0,0.0058,0.0058,0,0.0892,0.0001,0,0.0892
130,金华市,永康市,富春江坝址以上,金华江下游,3,934.9,66.4,28,94.4,8.63,388.34,330.34,727.31,0.47,180.16,173.39,354.02,0,1.5,25.74,23.02,19.66,3.01,0,22.67,5.48,2.13,3.09,0,1.32,0.04,3.5,3.54,1.5047,0.0303,0.0724,0,,0,1.6074,0.001,0,0,0.001,0.0095,0.0115,0,0.021,1.6294,0,0.5102,0.0135,0,0.5237,0,0.0104,0.0188,0,0.1185,0.0001,0.0029,0.1507,0.001,0,0.0061,0.1896,0.0557,0.2514,0,0.0042,0.0974,0.1016,0,0.3403,0.1334,0.4737,0,0.0697,0.0586,0.1283,0,1.6294,0.001,0,1.6294
131,金华市,永康市,瓯江温溪以上,大溪,3,19.5,0.19,0.42,0.61,0.15,1.31,2.67,4.13,0,0.41,0.41,0.82,0,0,0.39,0.35,0.28,0.05,0,0.33,0.08,0.03,0.05,0,0.03,0,0.12,0.12,0.014,0.0013,0.0015,0,,0,0.0168,0,0,0,0,0,0,0,0,0.0168,0,0.0082,0.0002,0,0.0084,0,0.0002,0.0003,0,0.0024,0,0.0001,0.003,0,0,0.0021,0,0.0007,0.0007,0,0,0.0006,0.0006,0,0.001,0.0019,0.0029,0,0,0.0012,0.0012,0,0.0168,0,0,0.0168
钱塘江区,金华,金义供水区,金华市区,,,2050,110.63999999999999,39.16,149.8,31.229999999999997,399.61,694.86,1125.6999999999998,2.62,250.73999999999998,57.22,310.58,0,34.125,37.69,37.69,30.88,3.2399999999999998,0,34.120000000000005,8.66,6.22,6.91,0,2.87,2.27,55.6,57.870000000000005,2.5741,0.4236,0.2898,0,,0,3.2874999999999996,0.0023,0,0,0.010499999999999999,0,0,0,0.0006,3.3033,0,1.2012,0.0201,0,1.2212999999999998,0,0.0362,0.0537,0,0.1795,0.0062,0.0315,0.3071,0.0081,0,0.0338,0.2907,0.08499999999999999,0.4095,0.0001,0.0205,0.3534,0.3739,0.0012,0.591,0.1809,0.7719,0,0.21960000000000002,0,0.21960000000000002,0,3.3033,0.010499999999999999,0,3.3033
,金华,,义乌区,,,1105,155.28,35.019999999999996,190.3,26.22,628.42,1400.9800000000002,2055.62,0.105,265.28999999999996,299.715,565.11,0,0.45,25.23,25.23,17.03,5.32,0,22.35,4.67,0.44,5.9399999999999995,0,1.4175,0.0249,24.015,24.039900000000003,1.823,0.8,0.1675,0,,0,2.7904999999999998,0,0,0,0,0.2173,0.0045,0,0.2218,3.0122999999999998,0.3735,0.5361,0.0269,0,0.5630000000000001,0,0.0025,0.0266,0,0.0779,0.0001,0.016,0.1231,0,0,0.012299999999999998,0.3731,0.3543,0.7354999999999999,0,0.026799999999999997,0.3761,0.40290000000000004,0,0.8365,0.186,1.0225,0,0.1455,0.019799999999999998,0.1653,0,3.0122999999999998,0,0.3735,3.3857999999999997
,金华,兰溪供水区,兰溪区,,,1312,33.29,24.81,58.1,26.07,242.18,226.54000000000002,494.79,0,171.65,50.02,221.67,0,264,41.089999999999996,41.089999999999996,30.770000000000003,5.8999999999999995,0,36.67,8.149999999999999,0.9800000000000001,11.709999999999999,0,3.65,0.8200000000000001,32.9,33.72,1.2524,0.31570000000000004,0.8694,0,,0,2.4375,0.0086,0,0,0.0086,0,0,0,0,2.4460999999999995,0,1.0851000000000002,0.022,0,1.1071,0,0.0063,0.0527,0,0.1825,0.0024,0.020999999999999998,0.2649,0.005,0,0.30339999999999995,0.2817,0.0713,0.6501,0.0036,0.008400000000000001,0.0529,0.0613,0,0.1834,0.1225,0.3059,0,0.0453,0.0115,0.056799999999999996,0,2.4460999999999995,0.0086,0,2.4460999999999995
,金华,永武供水区,永康区,,,1047,66.59,30.910000000000004,97.5,9.580000000000002,400.15999999999997,347.46999999999997,757.2099999999999,0.47,185.09,178.14,363.7,0,1.5,28.43,25.43,21.69,3.3299999999999996,0,25.02,6.050000000000001,2.3699999999999997,3.42,0,1.4800000000000002,0.04,3.95,3.99,1.5974,0.0361,0.07980000000000001,0,,0,1.7132999999999998,0.0011,0,0,0.001,0.0095,0.0115,0,0.021,1.7353999999999998,0,0.5634,0.015000000000000001,0,0.5784,0,0.011600000000000001,0.020800000000000003,0,0.1327,0.0001,0.0032999999999999995,0.1685,0.0011,0,0.0103,0.1896,0.0625,0.2582,0,0.004399999999999999,0.10210000000000001,0.1065,0,0.3413,0.1472,0.48850000000000005,0,0.0697,0.0656,0.1353,0,1.7353999999999998,0.0011,0,1.7353999999999998
,金华,,武义区,,,1568,30.16,16.74,46.9,16.43,156.4,167.32999999999998,340.15999999999997,0.81,126.07000000000001,16.32,143.20000000000002,0,2.4,21.47,21.47,16.62,2.66,0,19.28,5.97,1.04,4.07,0,0.648,0.3008,32.18,32.4808,1.1585,0.1286,0.0966,0,,0,1.3837,0,0,0,0.0013,0,0,0,0,1.385,0,0.7548,0.027200000000000002,0,0.782,0,0.0071,0.028900000000000002,0,0.0324,0.0007,0.011099999999999999,0.0802,0,0,0.0074,0.1733,0.0018,0.181,0.0001,0.0039000000000000003,0.0678,0.0717,0.0012,0.15519999999999998,0.0748,0.23,0,0.0262,0.0139,0.0401,0,1.385,0.0013,0,1.385
,金华,磐东供水区,磐安区,,,1195,9.83,8.069999999999999,17.9,14.120000000000001,54.25,71.38,139.75,0.11,24.83,14.329999999999998,39.269999999999996,0,0.6,14.730000000000002,14.730000000000002,6.32,6.8,0,13.119999999999997,2.5300000000000002,0.15,1.6300000000000001,0,0.16,0.017,4.1000000000000005,4.117,0.46779999999999994,0,0,0,,0,0.46779999999999994,0,0,0,0,0,0,0,0,0.46909999999999996,0,0.1849,0.0703,0,0.25520000000000004,0,0.0008,0.0091,0,0.007200000000000001,0,0.0022,0.0193,0,0,0.0075,0.013500000000000002,0.019200000000000002,0.034199999999999994,0,0.0028,0.0504,0.0532,0,0.055900000000000005,0.0423,0.09819999999999998,0,0.009000000000000001,0,0.009000000000000001,0,0.46909999999999996,0,0,0.46909999999999996
,金华,,东阳区,,,1746.9999999999998,76.51,32.79,109.29999999999998,21.85,360.14,423.86,805.85,1.96,159.48000000000002,107.03,268.46999999999997,0,8.1,39.55,33.29,24.740000000000002,8.55,0,33.29,10.01,1.11,5.129999999999999,0,3.0399999999999996,0.16,10.129999999999997,10.289999999999997,2.5585999999999998,0.16810000000000003,0.030199999999999998,0,,0,2.7569,0,0,0,0,0,0,0,0,2.7569,0,1.3355,0.0594,0,1.3948999999999998,0,0.0059,0.025,0,0.15800000000000003,0.0004,0.0055000000000000005,0.1948,0,0,0.030500000000000003,0.2527,0.11399999999999999,0.39089999999999997,0,0.011199999999999998,0.1556,0.1668,0,0.3648,0.1433,0.5080999999999999,0,0.0584,0.043,0.1014,0,2.7569,0,0,2.7569
,金华,浦江供水区,浦江区,,,918,29.39,17.11,46.5,10.91,126.24,155.04,292.19000000000005,0.81,63.57,43.949999999999996,108.33,0,6.3,12.91,12.91,9.45,2.2,0,11.65,2.45,0.43,6.37,0,0.14700000000000002,0.112,10.899999999999999,11.012,0.8546,0.0867,0.0452,0,,0,0.9865,0,0,0,0,0,0,0,0,0.9865,0,0.2928,0.0232,0,0.316,0,0.0024,0.0358,0,0.0162,0.0002,0.0042,0.0588,0,0,0.0296,0.1683,0.0799,0.2763,0,0.0052,0.045899999999999996,0.0511,0,0.163,0.0826,0.24559999999999998,0,0.026699999999999998,0.012,0.0387,0,0.9865,0,0,0.9865
