序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
193,丽水市,缙云县,瓯江温溪以下,楠溪江,6,82.5,0,0.81,0.81,0.5,0.75,2.62,3.87,0,0.06,0,0.06,0,0,0.93,0.38,0.3,0.08,0,0.38,0.13,0,0,0,0,0,0.61,0.61,0.0093,0.0059,0.0027,0,,0,0.0179,0,0,0,0,0,0,0,0,0.0179,0,0.013,0.0009,0,0.0139,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0.0026,0.0026,0,0,0.0011,0.0011,0,0.0179,0,0,0.0179,0.0179,0.0179,0,,,,,,,,,,,,,,,,,,,,,,,
194,丽水市,遂昌县,富春江坝址以上,衢江下游,6,1822,7.4469,4.1216,11.5685,7.324,22.5863,40.5011,70.4114,0,3.7,0,3.7,0,0,21.14,9.18,7.64,0.62,0.12,8.38,3.49,0.05,0.42,0,0.18,0.21,2.29,2.5,0.2022,0.1513,0.0158,0,,0,0.3693,0,0,0,0,0,0,0,0,0.3693,0,0.2709,0.0061,0.0015,0.2785,0,0.0002,0.0011,0,0.01,0.0007,0.001,0.013,0,0,0,0.0032,0.0103,0.0135,0,0.0015,0.0169,0.0184,0,0.0299,0.0149,0.0448,0,0.0008,0.0003,0.0011,0,0.3693,0,0,0.3693,0.3693,0.3693,0,,,,,,,,,,,,,,,,,,,,,,,
195,丽水市,遂昌县,富春江坝址以上,金华江下游,6,27.5,0,0.03,0.03,0.044,0.058,0.0224,0.1244,0,0,0,0,0,0,0.41,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0,0.0006,0.0003,0,0,,0,0.0009,0,0,0,0,0,0,0,0,0.0009,0,0.0007,0.0001,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0.0009,0,0,0.0009,0.0009000000000000001,0.0009,0,,,,,,,,,,,,,,,,,,,,,,,
196,丽水市,遂昌县,瓯江温溪以上,大溪,6,689.5,3.25,4.59,7.84,4.813,24.1996,31.2587,60.2713,0,34.17,0,34.17,0,0,7.08,5.36,4.1,0.42,0.32,4.84,1.95,0.1,0.84,0,0.2,0.06,1.4,1.46,0.1792,0.118,0.0117,0,,0,0.3089,0,0,0,0,0,0,0,0,0.3089,0,0.1481,0.0042,0.004,0.1563,0,0.0004,0.002,0,0.0109,0.0002,0.0007,0.0142,0,0,0,0.0559,0.0314,0.0873,0,0.0009,0.0176,0.0185,0,0.0127,0.0155,0.0282,0,0.0039,0.0005,0.0044,0,0.3089,0,0,0.3089,0.3089,0.3089,0,,,,,,,,,,,,,,,,,,,,,,,
197,丽水市,松阳县,瓯江温溪以上,大溪,6,1406,9.7751,10.7129,20.488,13.4,45.17,60.92,119.49,0.21,36.3,0,36.51,0,1.5,28.3,14.445,6.125,5.06,2.56,13.745,3.58,0,2.72,0,0.2,0.23,5.22,5.45,0.2126,0.3001,0.0321,0,,0,0.5448,0.0003,0,0,0.0003,0,0,0,0,0.5451,0,0.224,0.0394,0.0309,0.2943,0,0,0.011,0,0.005,0.0006,0.0024,0.019,0,0,0.0045,0.0678,0,0.0723,0.0003,0.0132,0.0185,0.0317,0,0.0556,0.0464,0.102,0,0.0258,0,0.0258,0,0.5451,0.0003,0,0.5451,0.5451000000000001,0.5450999999999999,0,,,,,,,,,,,,,,,,,,,,,,,
198,丽水市,景宁畲族自治县,瓯江温溪以上,小溪及瓯江青田段,6,1682.6,6.4616,3.8695,10.3311,5.99,15.67,47.62,69.28,0,8.22,0,8.22,0,0,24.37,9.24,5.94,2.77,0.58,9.29,3.39,0.58,0.14,0,0,0.56,3.33,3.89,0.1417,0.1995,0,0,,0,0.3412,0,0,0,0,0,0,0,0,0.3412,0,0.2125,0.0279,0.0075,0.2479,0,0.0021,0.0009,0,0,0.0015,0.0016,0.0061,0,0,0,0.0071,0,0.0071,0,0.0048,0.0211,0.0259,0,0.0291,0.0152,0.0443,0,0.0099,0,0.0099,0,0.3412,0,0,0.3412,0.3412,0.3412,0,,,,,,,,,,,,,,,,,,,,,,,
199,丽水市,景宁畲族自治县,瓯江温溪以下,飞云江,6,266.4,0,0.77,0.77,0.81,1.19,3.48,5.48,0,1.03,0,1.03,0,0,3.72,0.81,0.61,0.15,0,0.76,0.07,0.02,0,0,0,0.07,0.58,0.65,0.0075,0.0203,0,0,,0,0.0278,0,0,0,0,0,0,0,0,0.0278,0,0.0221,0.0015,0,0.0236,0,0.0001,0,0,0,0.0002,0.0003,0.0006,0,0,0,0.0007,0,0.0007,0,0,0,0,0,0,0.0029,0.0029,0,0,0,0,0,0.0278,0,0,0.0278,0.0278,0.0278,0,,,,,,,,,,,,,,,,,,,,,,,
,丽水市,,,,,104799.99999999999,4659.843599999997,1796.9203,6456.763900000002,2108.4956999999995,26386.63650000002,35969.13740000001,64464.2696,609.2282,17157.281100000004,4956.609099999997,22723.118399999996,3889.7,2806.0050000000006,2980.670000000001,2118.1367,1528.4139999999993,267.5142,156.6825000000001,1952.6106999999988,634.4050000000002,91.42770000000002,119.81650000000002,1.3499999999999999,104.77020000000012,31.187099999999983,2590.7210000000014,2621.9081000000015,67.16494226900001,28.73447133,57.596599709000024,6.174046691000002,0,0,159.67010000000008,0.31649999999999984,0.0002,0,0.31669999999999987,3.1197000000000004,0.1164,0.7208,3.9569,163.94369999999998,40.63460000000003,59.815434999999994,2.5789560000000016,1.7660089999999988,64.16040000000001,0.020399999999999995,0.6166999999999992,0.8236,0.0059,7.4715,0.10930000000000015,0.6678999999999996,9.694899999999997,0.019,1.4183000000000001,2.7043000000000004,24.568649420000007,7.041699999999999,35.73289999999999,0.080118,4.127900000000001,13.742673000000002,17.870599999999996,0.0231,22.288400500000012,7.221300000000001,29.50969999999998,0.17388999999999996,5.648100000000001,1.3271000000000002,6.9752000000000045,0.0001,163.94369999999998,0.31669999999999987,40.63460000000003,204.5785000000001,163.9465,163.9407,-0.0057999999999996665,,,,,,,,,,,,,,,,,,,,,,,
丽水区,丽水,丽水市区供水区,丽水市区,,,1502,42.9633,13.248299999999999,56.2116,21.23,119.28,266.46,406.96999999999997,0,79.29,8.04,87.33,0,0,25.080000000000002,17.580000000000002,14.85,1.8800000000000001,0.81,17.540000000000003,3.59,0,4.32,0,0.44,0.16,9.850000000000001,10.01,0.6326,0.6581,0.0759,0,,0,1.3666,0.0006,0,0,0.0006,0,0,0,0,1.3672,0,0.6001,0.016,0.0092,0.6253,0,0,0.025400000000000002,0,0.019200000000000002,0.0005,0.0028,0.047900000000000005,0,0,0,0.1723,0.0175,0.1898,0.0006,0.0543,0.1795,0.2338,0,0.2007,0.0548,0.2555,0,0.0112,0.0036999999999999997,0.0149,0,1.3672,0.0006,0,1.3672,,,,,,,,,,,,,,,,,,,,,,,,,,
,丽水,龙泉溪供水区,龙泉市,,,3059.0000000000005,16.5567,8.3299,24.8866,16.179999999999996,51.13,79.85000000000001,147.16,0.38,37.14,0,37.52,0,3,38.68000000000001,24.57,18.37,3.4699999999999998,1.53,23.37,7.0600000000000005,0,0,0,0.24,0.14,7.6000000000000005,7.74,0.4392,0.32230000000000003,0.0563,0,,0,0.8178,0,0,0,0,0,0,0,0,0.8178,0,0.5449999999999999,0.0336,0.0183,0.5969,0,0,0,0,0.0089,0.0004,0.0036,0.012899999999999998,0,0,0.0069,0.0615,0.0138,0.0822,0,0.0068,0.022000000000000002,0.028800000000000003,0,0.0632,0.025800000000000003,0.08899999999999998,0,0.008,0,0.008,0,0.8178,0,0,0.8178,,,,,,,,,,,,,,,,,,,,,,,,,,
