序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
125,金华市,武义县,富春江坝址以上,金华江下游,3,929.4,27.2,13.4,40.6,13.29,141.64,100.77,255.7,0.42,123.59,22.66,146.67,0,2.4,29.55,16.44,14.42,0.78,0.6,15.8,6.06,0.62,0.41,0,0.57,0.23,14.69,14.92,1.0795,0.0067,0.002,0,0,0,1.0882,0.0088,0,0,0.0088,0,0,0,0,1.097,0,0.5374,0.0109,0.0099,0.5582,0,0.004,0.0031,0,0.0294,0.0008,0.0095,0.0468,0.0063,0,0.0069,0.1657,0.0414,0.214,0.0003,0.0063,0.0504,0.0567,0.0022,0.133,0.0583,0.1913,0,0.0217,0.0083,0.03,0,1.097,0.0088,0,1.097,1.097,1.097,0,212.9331184528606,136.16847270496828,,,,,,,,
126,金华市,武义县,瓯江温溪以上,大溪,3,638.6,2.25,4.05,6.3,2.83,16.32,38.4,57.55,0,0.06,2,2.06,0,0,6.89,6.36,5.9,0.37,0.09,6.36,1.4,0.42,0.28,0,0.08,0.21,8.81,9.02,0.0819,0.1187,0.0921,0,0,0,0.2927,0.0017,0,0,0.0017,0,0,0,0,0.2944,0,0.225,0.0057,0.0013,0.232,0,0.003,0.0018,0,0.004,0.0006,0.0058,0.0152,0.0017,0,0,0.0017,0.0004,0.0021,0,0.0008,0.0089,0.0097,0,0.0103,0.0165,0.0268,0,0.0035,0.0051,0.0086,0,0.2944,0.0017,0,0.2944,0.2944,0.2944,0,286.1491628614916,146.11872146118722,,,,,,,,
127,金华市,磐安县,富春江坝址以上,金华江上游,3,418.5,6.4109,1.6878,8.0987,6.0382,20.8092,45.7905,72.6379,0,10.0294,5.7273,15.7567,0,0,21.6695,3.743,1.1568,0.6905,1.787,3.6343,1.7534,0.244,0,0,0.0449,0.0098,1.0529,1.0627,0.1576,0,0,0,0.0000,0,0.1576,0,0,0,0,0,0,0,0,0.1576,0,0.0303,0.0065,0.0174,0.0542,0,0.0014,0,0,0.0022,0,0.0011,0.0047,0,0,0,0.0052,0.0078,0.013,0,0.0209,0.0214,0.0423,0,0.033,0.0074,0.0404,0,0.003,0,0.003,0,0.1576,0,0,0.1576,0.1576,0.1576,0,334.6184591012268,120.12070507607375,,,,,,,,
128,金华市,磐安县,富春江坝址以下,曹娥江百官以上,3,207.4,1.8719,2.3956,4.2675,1.5527,22.0767,6.0664,29.6958,0,10.6403,6.0761,16.7164,0,0,5.5722,1.0412,0.3002,0.1776,0.4568,0.9346,0.4535,0.1442,0,0,0.0266,0.0098,0.6123,0.6221,0.0647,0,0,0,0.0000,0,0.0647,0,0,0,0,0,0,0,0,0.0647,0,0.0078,0.0017,0.0045,0.014,0,0.0008,0,0,0.0013,0,0.0006,0.0027,0,0,0,0.0055,0.0083,0.0138,0,0.0061,0.0062,0.0123,0,0.0096,0.0105,0.0201,0,0.0018,0,0.0018,0,0.0647,0,0,0.0647,0.0647,0.0647,0,346.8748696474975,120.08316616994169,,,,,,,,
129,金华市,磐安县,瓯江温溪以下,永安溪,3,140.2,0.0814,0.994,1.0754,0.7895,6.529,3.837,11.1555,0,3.1468,1.797,4.9438,0,0,2.8332,0.5995,0.1525,0.0903,0.2324,0.4752,0.2305,0.1461,0,0,0.0269,0.0059,0.6304,0.6363,0.0211,0,0,0,0.0000,0,0.0211,0.0001,0,0,0.0001,0,0,0,0,0.0212,0,0.004,0.0009,0.0023,0.0072,0,0.0009,0,0,0.0013,0,0.0006,0.0028,0,0,0,0.0016,0.0024,0.004,0,0.0003,0.0003,0.0006,0,0.0004,0.0044,0.0048,0.0001,0.0018,0,0.0018,0,0.0212,0.0001,0,0.0212,0.0212,0.0212,0,942.4119013160109,121.27559879826909,,,,,,,,
130,金华市,磐安县,瓯江温溪以下,始丰溪,3,204.9,0.1018,1.1915,1.2933,3.1479,1.3106,5.8024,10.2609,0,0.6316,0.3607,0.9923,0,0,11.297,1.9618,0.6006,0.36,0.9339,1.8945,0.9118,0.138,0,0,0.0254,0.0058,0.5946,0.6004,0.0395,0,0,0,0.0000,0,0.0395,0.0002,0,0,0.0002,0,0,0,0,0.0397,0,0.0158,0.0034,0.009,0.0282,0,0.0008,0,0,0.0013,0,0.0006,0.0027,0,0,0,0.0003,0.0005,0.0008,0.0002,0.0003,0.0003,0.0006,0,0.0005,0.0052,0.0057,0,0.0017,0,0.0017,0,0.0397,0.0002,0,0.0397,0.039700000000000006,0.0397,0,753.5592216809752,119.56840404922997,,,,,,,,
131,金华市,磐安县,瓯江温溪以上,大溪,3,224,1.0177,2.1074,3.1251,0.9817,4.1745,4.9537,10.1099,0,2.0119,1.1489,3.1608,0,0,3.5231,0.684,0.1849,0.1123,0.2937,0.5909,0.2821,0.1178,0,0,0.0217,0.0042,0.5097,0.5139,0.0363,0,0,0,0.0000,0,0.0363,0,0,0,0,0,0,0,0,0.0363,0,0.0049,0.0011,0.0028,0.0088,0,0.0007,0,0,0.0011,0,0.0005,0.0023,0,0,0,0.001,0.0016,0.0026,0,0.0033,0.0034,0.0067,0,0.0052,0.0093,0.0145,0,0.0014,0,0.0014,0,0.0363,0,0,0.0363,0.0363,0.0363,0,358.04614487946907,120.9046790110777,,,,,,,,
钱塘江区,金华,金义供水区,金华市区,,,2050,106.61,42.08,148.69,32.19,371.48,611.12,1014.79,3.83,232.92,61.49,298.24,0,22.125,73.16,65.1277,51.82,4.3100000000000005,7.220000000000001,63.349999999999994,8.17,2.24,6.470000000000001,0.165,2.916,2.0826,65.19999999999999,67.2826,2.9187,0.4847,0.3435,0,,0,3.7468999999999997,0.0252,0,0,0.0252,0,0.0009,0,0.0009,3.773,0,1.7149999999999999,0.026,0.0771,1.8181000000000003,0,0.0101,0.0567,0.0009,0.1482,0.0062,0.0388,0.2609,0.0142,0,0.0159,0.4572,0.1337,0.6068,0.004,0.046900000000000004,0.2854,0.33230000000000004,0.007,0.4586,0.1498,0.6084,0,0.14650000000000002,0,0.14650000000000002,0,3.773,0.0252,0,3.773,3.7729999999999997,3.7729999999999997,0,,0.8282,0.8282,1.0872000000000002,0.6068,2.079,,,,
,金华,,义乌区,,,1105,151,37.51,188.51,24.58,554.1700000000001,1151.41,1730.16,7.8,269.72,225.32,502.84000000000003,0,0.45,32.589999999999996,25.97,16.0365,4.7834,2.7202,23.5401,5.789999999999999,5.47,3.4204999999999997,0,1.698,0.0125,16.1,16.1125,1.8555000000000001,0.5,0.2206,0,,0,2.5761000000000003,0,0,0,0,0.211,0.0044,0,0.2154,2.7915,0,0.457,0.039099999999999996,0.0162,0.5123,0,0.0148,0.0134,0,0.0849,0,0.0067,0.1198,0,0,0.0115,0.3603,0.3401,0.7119,0,0.0381,0.3342,0.37229999999999996,0,0.7723000000000001,0.171,0.9433,0,0.11610000000000001,0.0158,0.13190000000000002,0,2.7915,0,0,2.7915,2.7914999999999996,2.7915,0,,0.7206,0.7206,1.4475000000000002,0.7119,0.6321,,,,
,金华,兰溪供水区,兰溪区,,,1312,32.150000000000006,25.659999999999997,57.81,26.060000000000002,230.7,191.26000000000002,448.02,0,162.2,50.410000000000004,212.61,0,264,60.67999999999999,55.28,34.339999999999996,6.18,8.040000000000001,48.559999999999995,8.09,0,3.1000000000000005,0,4.38,0.6799999999999999,31.8,32.48,1.2307000000000001,0.3131,0.8284,0,,0,2.3721999999999994,0.0148,0,0,0.0148,0,0,0,0,2.387,0,1.0495999999999999,0.0212,0.0271,1.0979,0,0,0.0401,0,0.2191,0.0026000000000000003,0.0207,0.28250000000000003,0.01,0,0.2541,0.2614,0.0661,0.5816,0.0040999999999999995,0.0122,0.0362,0.048400000000000006,0.0003,0.1893,0.1344,0.3237,0.0004,0.042100000000000005,0.0108,0.052899999999999996,0,2.387,0.0148,0,2.387,2.387,2.3869999999999996,0,,1.1415,1.1415,0.425,0.5816,1.3804,,,,
