序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
193,丽水市,庆元县,闽江上游,闽江上游,6,0.0,1040,5.1001,2.7959,7.896,4.37,17.45,27.27,49.09,0.015,20.485,0,20.5,0,0.9,8.21,8.21,4.44,0.36,0,4.8,1.96,0.105,0.105,0,0,0.06,2.69,2.75,0.0667,0.1901,0.0043,0,,0,0.2611,0.0029,0,0,0.0029,0.0142,0,0,0.0142,0.2782,0,0.2024,0.005,0,0.2074,0,0.0005,0.0006,0,0,0.0002,0.0011,0.0024,0,0,0.003,0.0114,0,0.0144,0.0003,0.0012,0.0033,0.0045,0,0.0196,0.0107,0.0303,0.0026,0.0192,0,0.0192,0,0.2782,0.0029,0,0.2782,0,0,0
194,丽水市,景宁畲族自治县,瓯江温溪以上,小溪及瓯江青田段,6,0.0,1682.6,6.743,3.4755,10.2185,6.4064,19.0557,60.8871,86.3492,0,10.69,0,10.69,0,0,24.44,9.25,7.63,1.62,0,9.25,3.58,0.58,0.14,0,0,0.78,7.11,7.89,0.1469,0.2068,0,0,,0,0.3537,0,0,0,0,0.0098,0,0,0.0098,0.3635,0,0.2438,0.0184,0,0.2622,0,0.002,0.0009,0,0,0.0027,0.0031,0.0087,0,0,0,0.0067,0,0.0067,0,0.0024,0.0191,0.0215,0,0.0367,0.0143,0.051,0,0.0134,0,0.0134,0,0.3635,0,0,0.3635,0,0,0
195,丽水市,景宁畲族自治县,瓯江温溪以下,飞云江,6,0.0,266.4,0,0.7815,0.7815,0.8736,1.4343,4.5829,6.8908,0,1.15,0,1.15,0,0,3.65,0.8,0.66,0.14,0,0.8,0.07,0.02,0,0,0,0.1,1.25,1.35,0.0078,0.0225,0,0,,0,0.0303,0,0,0,0,0,0,0,0,0.0303,0,0.0241,0.0018,0,0.0259,0,0.0001,0,0,0,0.0003,0.0006,0.001,0,0,0,0.0007,0,0.0007,0,0,0,0,0,0,0.0027,0.0027,0,0,0,0,0,0.0303,0,0,0.0303,0,0,0
196,丽水市,龙泉市,富春江坝址以上,衢江下游,6,0.0,316.1,0.3149,0.1695,0.4844,1.82,5.28,9.26,16.36,0,2,0,2,0,0,2.98,2.43,1.87,0.42,0,2.29,0.52,0,0,0,0,0,1.58,1.58,0.0388,0.0306,0.0049,0,,0,0.0743,0,0,0,0,0,0,0,0,0.0743,0,0.0542,0.0055,0,0.0597,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0.0029,0,0.0029,0,0,0.0041,0.0041,0,0.0013,0.0006,0.0019,0,0.0049,0,0.0049,0,0.0743,0,0,0.0743,0,0,0
197,丽水市,龙泉市,瓯江温溪以上,大溪,6,0.0,2438.8,16.0372,7.5225,23.5597,12.62,41.63,66.28,120.53,0.8188,36.1912,0,37.01,0,1.5,21.09,16.48,13.82,1.94,0,15.76,6.17,0,0,0,0.06,0.1,10.98,11.08,0.3404,0.2584,0.0454,0,,0,0.6442,0.0001,0,0,0.0001,0.0134,0,0,0.0134,0.6577,0,0.4105,0.0244,0,0.4349,0,0,0,0,0.0024,0.0003,0.0041,0.0068,0,0,0.0103,0.0494,0,0.0597,0.0001,0.0086,0.0424,0.051,0,0.0642,0.0288,0.093,0,0.0123,0,0.0123,0,0.6577,0.0001,0,0.6577,0,0,0
198,丽水市,龙泉市,瓯江温溪以上,小溪及瓯江青田段,6,0.0,216.3,0.2609,0.1137,0.3746,2.07,7.13,9.65,18.85,0,5.1,0,5.1,0,0,4.17,2.99,2.3,0.54,0,2.84,0.63,0,0,0,0,0.03,1.16,1.19,0.0475,0.0388,0.0065,0,,0,0.0928,0,0,0,0,0,0,0,0,0.0928,0,0.066,0.0069,0,0.0729,0,0,0,0,0,0.0001,0.0005,0.0006,0,0,0,0.0068,0,0.0068,0,0.0036,0.0026,0.0062,0,0.001,0.0004,0.0014,0,0.0049,0,0.0049,0,0.0928,0,0,0.0928,0,0,0
199,丽水市,龙泉市,闽江上游,闽江上游,6,0.0,87.8,0.317,0.1643,0.4813,1.58,5.59,7.41,14.58,0,1.45,0,1.45,0,0,3.2,2.67,2.09,0.39,0,2.48,0.38,0,0,0,0.07,0.04,0.72,0.76,0.0452,0.0299,0.0056,0,,0,0.0807,0,0,0,0,0,0,0,0,0.0807,0,0.0608,0.005,0,0.0658,0,0,0,0,0.0024,0.0001,0.0004,0.0029,0,0,0,0.0019,0,0.0019,0,0,0.0082,0.0082,0,0.0013,0.0006,0.0019,0,0,0,0,0,0.0807,0,0,0.0807,0,0,0
,丽水市,,,,,,104800.00000000001,4834.752499999999,1742.2475000000002,6577.000000000003,2327.0502000000006,33172.2371,41983.10200000001,77482.38929999997,744.3592999999997,22793.465100000005,5306.531399999998,28844.35580000001,2186.16,3704.479599999999,2175.1470000000004,1846.0592000000001,1318.6310999999994,297.8083,0,1616.4393999999995,648.8072000000001,87.26439999999997,361.3212,0,95.35199999999998,25.044700000000002,3724.4574000000002,3749.502100000001,69.52860000000003,26.664700000000007,54.88870000000003,11.584600000000002,0,0,162.66660000000005,0.1606999999999999,0.0002,0.0002,0.1606999999999999,3.436999999999999,0.0853,1.4662000000000002,4.986600000000001,167.81389999999993,41.8624,57.4176,4.245099999999999,0,61.66269999999997,0.019899999999999998,0.6040999999999992,2.1277999999999992,0,8.164999999999996,0.07380000000000005,0.7641999999999998,11.736999999999997,0.014700000000000001,0.9637,3.4023999999999996,25.039999999999992,5.993700000000002,35.3899,0.03860000000000001,3.3991000000000016,15.540699999999994,18.9398,0.0184,25.56529999999999,7.9455000000000044,33.51080000000001,0.06910000000000001,5.5428000000000015,1.0017999999999994,6.573700000000002,0,167.81389999999993,0.1606999999999999,41.8624,209.67630000000003,0,0,0
,丽水市,,,,,,104800,4834.7525,1742.2474999999997,6577,2324.772248,33205.166332,42185.417738,77715.356318,744.3593,22820.785032732074,5306.132340267926,28871.276673,2186.16,3704.4795999999997,2175.1470000000004,1846.0592,1318.6310999999998,297.8083,0,1616.4394000000002,648.8072000000001,87.2644,361.3212,0,95.35590000000002,25.044699999999995,3724.4574000000002,3749.5021,69.5286,26.664700000000003,54.88869999999999,11.584599999999998,0,0,162.66660000000005,0.16049999999999998,0.0002,0,0.16069999999999998,3.4364000000000003,0.08479999999999999,1.4653999999999998,4.986600000000001,167.81390000000002,41.862399999999994,57.4176,4.2451,0,61.66270000000001,0.0199,0.6041,2.1278,0,8.165000000000001,0.07589999999999998,0.7642,11.737,0.014700000000000001,0.9637,3.3925000000000005,25.04,5.9937,35.3899,0.03860000000000001,3.3991,15.5407,18.939799999999998,0.018399999999999996,25.5653,7.945499999999999,33.510799999999996,0.0691,5.5428,1.0309,6.5737000000000005,0,167.81390000000002,0.16069999999999998,41.862399999999994,209.67629999999997,0,0,0
,丽水市,,,,,,0,0,0,0,经济社会数据与统计年鉴数据有出入，以统计年鉴为准,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0039000000000442014,0,0,0,0,0,0,0,0,0,0,-0.00019999999999992246,0,-0.0002,0,-0.0005999999999986017,-0.0005000000000000143,-0.000800000000000356,0,0,0,0,0,0,0,0,0,0,0,0,0.0020999999999999353,0,0,0,0,-0.009899999999999132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02910000000000057,0,0,0,0,0,0,0,0,0
