序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
189,丽水市,缙云县,瓯江温溪以下,楠溪江,6,82.5,0,0.72,0.72,0.48,0.75,2.4,3.63,0,0.06,0,0.06,0,0,0.93,0.38,0.3,0.08,0,0.38,0.13,0,0,0,0,0,0.53,0.53,0.0085,0.0062,0.0027,0,0,0,0.0174,0,0,0,0,0,0,0,0,0.0174,0,0.0126,0.0008,0,0.0134,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0026,0.0026,0,0,0.0011,0.0011,0,0.0174,0,0,0.0174,0.017400000000000002,0.0174,0,,,
190,丽水市,遂昌县,富春江坝址以上,衢江下游,6,1822,7.3,4.22,11.52,7.18,23.38,36.24,66.8,0,4.37,0,4.37,0,0,21.14,9.18,7.64,0.62,0.12,8.38,3.38,0.05,0.42,0,0.18,0.22,2.29,2.51,0.1911,0.1512,0.0175,0,0,0,0.3598,0,0,0,0,0,0,0,0,0.3598,0,0.2674,0.006,0.0015,0.2749,0,0.0002,0.0011,0,0.01,0.0008,0.0011,0.0132,0,0,0,0.0036,0.0048,0.0084,0,0.001,0.0205,0.0215,0,0.0269,0.0144,0.0413,0,0.0003,0.0002,0.0005,0,0.3598,0,0,0.3598,0.3598,0.3598,0,,,
191,丽水市,遂昌县,富春江坝址以上,金华江下游,6,27.5,0,0.03,0.03,0.04,0.06,0.02,0.12,0,0,0,0,0,0,0.41,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0,0.0006,0.0003,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0.0009,0,0.0007,0.0001,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0.0009,0,0,0.0009,0.0009000000000000001,0.0009,0,,,
192,丽水市,遂昌县,瓯江温溪以上,大溪,6,689.5,3.05,4.63,7.68,4.72,25.05,27.97,57.74,0,35.2,0,35.2,0,0,7.08,5.36,4.1,0.42,0.32,4.84,1.93,0.1,0.84,0,0.2,0.06,1.46,1.52,0.1529,0.1137,0.0133,0,0,0,0.2799,0,0,0,0,0,0,0,0,0.2799,0,0.1462,0.0041,0.0039,0.1542,0,0.0004,0.002,0,0.0119,0.0002,0.0007,0.0152,0,0,0,0.0621,0.0092,0.0713,0,0.0008,0.0101,0.0109,0,0.0114,0.0153,0.0267,0,0.0013,0.0003,0.0016,0,0.2799,0,0,0.2799,0.2799,0.2799,0,,,
193,丽水市,松阳县,瓯江温溪以上,大溪,6,1406,10.08,9.15,19.23,13.16,46.97,55.42,115.55,0.21,38.05,0,38.26,0,1.5,28.3,14.45,7.13,4.06,2.56,13.75,3.5,0,2.72,0,0.2,0.25,4.85,5.1,0.2003,0.2822,0.0303,0,0,0,0.5128,0,0,0,0,0,0,0,0,0.5128,0,0.2363,0.0416,0.0325,0.3104,0,0,0.018,0,0.008,0.0009,0.0022,0.0291,0,0,0.004,0.0465,0.0233,0.0738,0,0.0138,0.0172,0.031,0,0.0368,0.0301,0.0669,0,0.0016,0,0.0016,0,0.5128,0,0,0.5128,0.5128,0.5128,0,,,
194,丽水市,景宁畲族自治县,瓯江温溪以上,小溪及瓯江青田段,6,1682.6,6.23,4.15,10.38,5.64,15.84,42.45,63.93,0,8.71,0,8.71,0,0,24.37,9.24,5.94,2.77,0.58,9.29,3.3,0.58,0.14,0,0,0.5,3.15,3.65,0.135,0.198,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0.333,0,0.2222,0.0283,0.0076,0.2581,0,0.0021,0.0009,0,0,0.0018,0.0017,0.0065,0,0,0,0.0028,0.0044,0.0072,0,0.0049,0.0125,0.0174,0,0.0214,0.013,0.0344,0,0.0094,0,0.0094,0,0.333,0,0,0.333,0.333,0.333,0,,,
195,丽水市,景宁畲族自治县,瓯江温溪以下,飞云江,6,266.4,0,0.83,0.83,0.77,1.2,3.1,5.07,0,1.09,0,1.09,0,0,3.72,0.81,0.61,0.15,0,0.76,0.07,0.02,0,0,0,0.06,0.55,0.61,0.0081,0.0201,0,0,0,0,0.0282,0,0,0,0,0,0,0,0,0.0282,0,0.0228,0.0015,0,0.0243,0,0.0001,0,0,0,0.0002,0.0003,0.0006,0,0,0,0.0006,0.0001,0.0007,0,0,0,0,0,0,0.0026,0.0026,0,0,0,0,0,0.0282,0,0,0.0282,0.028199999999999996,0.0282,0,,,
,丽水市,,,,合计数,104800,4152.078800000003,1816.5011999999992,5968.58,1993.3315000000007,26455.77680000001,33336.72549999999,63157.122899999966,558.2322000000001,16198.034199999996,6068.2995,23308.545900000012,3992.8,2545.735000000001,3054.150000000001,2167.9094,1613.1657000000002,258.708,134.63100000000006,2006.395799999999,660.1811999999993,90.00770000000001,116.69800000000004,1.185,115.3132000000001,36.01230000000003,2531.2231999999985,2567.1940000000004,63.65969999999999,33.7965,57.7978,7.124700000000002,0,0,162.37870000000004,0.7052999999999999,0.0004,0,0.7056999999999999,2.3457,0.12969999999999998,0.2259,2.7012999999999994,165.78570000000005,43.4157,59.513299999999994,2.4739000000000018,1.5213999999999994,63.508600000000015,0.0277,0.5857999999999995,0.6743999999999999,0.0045,6.802900000000002,0.10980000000000009,0.6775499999999991,8.854999999999997,0.023399999999999997,0.6682,3.5374999999999988,28.387299999999993,8.2194,40.81240000000001,0.2615329999999999,2.998699999999998,15.478800000000009,18.4775,0.036,21.150400000000005,7.6046000000000005,28.755,0.35714999999999997,4.470000000000001,0.9071999999999999,5.3772,0,165.78570000000005,0.7056999999999999,43.4157,209.2014,165.78570000000005,165.78570000000005,0,,,
,丽水市,,,,公报数据,,4152.0788,1816.5012,5968.58,1993.3315,26455.7768,33336.7255,63157.1229,558.2322,16198.0342,6068.2995,23308.5459,3992.8,2545.735,3054.15,2167.9094,1613.1657,258.708,134.631,2006.3958,660.1812,90.0077,116.698,1.185,115.3132,36.0123,2531.2232,2567.194,63.6597,33.7965,57.7978,7.1247,0,0,162.3787,0.7053,0.0004,0,0.7057,2.3457,0.1297,0.2259,2.7013,165.7857,43.4157,59.5133,2.4739,1.5214,63.5086,0.0277,0.5858,0.6744,0.0045,6.8029,0.1098,0.67755,8.855,0.0234,0.6682,3.5375,28.3873,8.2194,40.8124,0.261533,2.9987,15.4788,18.4775,0.036,21.1504,7.6046,28.755,0.35715,4.47,0.9072,5.3772,0,165.7857,0.7057,43.4157,209.2014,,,,,,
,丽水市,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.881784197001252e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
