序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
127,金华市,磐安县,瓯江温溪以下,始丰溪,3,204.9,0.49,1.07,1.56,1.63,4.88,7.4,13.91,0,0,3.69,3.69,0,0,2.96,1.2595,0.4,0.49,0.27,1.16,0.56,0.04,0,0,0,0.05,0.48,0.53,0.0252,0.0038,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0.029,0,0.0101,0.0039,0.0006,0.0146,0,0.0003,0,0,0,0.0001,0.0005,0.0009,0,0,0,0.0011,0.002,0.0031,0,0.0027,0.001,0.0037,0,0.0029,0.0037,0.0066,0,0.0001,0,0.0001,0,0.029,0,0,0.029,0.029,0.029,0,,,
128,金华市,磐安县,瓯江温溪以上,大溪,3,224,1.05,2.41,3.46,2.56,7.13,10.25,19.94,0,0,5.4,5.4,0,0,4.88,1.65,0.46,0.65,0.4,1.51,0.82,0.17,0,0,0,0.03,0.52,0.55,0.0347,0.0108,0,0,0,0,0.0455,0,0,0,0,0,0,0,0,0.0455,0,0.0121,0.0055,0.0017,0.0193,0,0.0009,0,0,0,0.0001,0.0005,0.0015,0,0,0,0.0016,0.0028,0.0044,0,0.005,0.0016,0.0066,0,0.0044,0.009,0.0134,0,0.0003,0,0.0003,0,0.0455,0,0,0.0455,0.045500000000000006,0.0455,0,,,
7,金华市,,,,,10942.000000000002,380.74,181.64,562.38,145.73000000000002,1833.0300000000004,2581.14,4559.900000000001,19.68,453.88,1091.6400000000003,1565.2000000000007,0,296.025,330.55999999999995,254.99530000000001,182.60510000000005,28.209999999999997,28.14949999999999,238.85999999999999,58.43,14.609999999999996,17.19,0,12.379999999999999,19.234999999999996,170.405,189.64000000000007,11.7635,1.6274999999999993,1.5598999999999994,0.1931,0,0,15.144000000000002,0.3176,0,0,0.3176,0.2337,0.0148,0,0.2485,15.710099999999999,2.0787,5.476900000000001,0.24939999999999996,0.24879999999999994,5.975100000000001,0,0.08519999999999998,0.0914,0,0.6943,0.054000000000000034,0.08330000000000001,1.0081999999999998,0.0179,0,0.23839999999999997,3.123999999999999,1.1743000000000003,4.5367,0.18770000000000003,0.2166,0.6433000000000001,0.8599000000000001,0.0254,1.7904999999999998,0.6889000000000002,2.4793999999999996,0.08665,0.5832999999999999,0.26749999999999996,0.8508,0,15.710099999999999,0.3176,2.0787,17.7888,,,,,,
钱塘江区,金华,金义供水区,金华市区,,,2050,84.34,31.240000000000002,115.58,33.9,314.23,529.79,877.92,0.83,225.29999999999998,24.869999999999997,251,0,24.525,72.71,65.1277,51.82,4.3100000000000005,7.220000000000001,63.349999999999994,7.949999999999999,0.36,5.8100000000000005,0,1.26,12.559999999999999,41.84,54.4,2.4627,0.39849999999999997,0.2973,0.1931,0,0,3.3516,0.1383,0,0,0.1383,0,0,0,0,3.4899,0,1.6579000000000002,0.0259,0.0826,1.7664,0,0.0127,0.0228,0,0.0804,0.0454,0.0219,0.18319999999999997,0.0106,0,0.0051,0.516,0.1506,0.6717,0.0663,0.0574,0.1051,0.16249999999999998,0.0088,0.45920000000000005,0.1142,0.5734,0.0526,0.1253,0.0074,0.13269999999999998,0,3.4899,0.1383,0,3.4899,金义供水区,金华市区,0,0.0,0.6958,0.6958
,金华,,义乌区,,,1105,102.32,29.54,131.86,22.58,418.03,980.5300000000001,1421.14,0,0,361.5,361.5,0,0,32.59,25.968,9.9801,8.51,5.050000000000001,23.54,5.79,5.47,0,0,1.07,0.01,13.95,13.96,1.6275,0.5,0.2253,0,0,0,2.3528000000000002,0,0,0,0,0.2029,0.004,0,0.2069,2.5597,0.9921,0.3321,0.1128,0.0561,0.501,0,0.0144,0.013399999999999999,0,0.0742,0,0.0059,0.10790000000000001,0,0,0,0.4821,0.4548,0.9369000000000001,0,0.050499999999999996,0.1833,0.2338,0,0.4869,0.11030000000000001,0.5972,0,0.16570000000000001,0.0172,0.1829,0,2.5597,0,0.9921,3.5518,,义乌区,0,0.0,0.7253000000000001,1.7174
,金华,兰溪供水区,兰溪区,,,1312,30.460000000000004,26.36,56.82,26.09,200.44,159.17000000000002,385.7,18.85,165.05,0,183.9,0,264,60.67999999999999,55.2831,34.34,6.18,8.04,48.56,12.4,0,3.1,0,5.68,0.6100000000000001,24.32,24.930000000000003,1.3089,0.3372,0.8089,0,0,0,2.4549999999999996,0.0102,0,0,0.0102,0,0,0,0,2.4652000000000003,0,0.9987999999999999,0.0188,0.0248,1.0424,0,0,0.0462,0,0.3196,0.0048000000000000004,0.0166,0.3872,0,0,0.2201,0.5476,0,0.7677,0.0097,0.0046,0.028900000000000002,0.0335,0.0002,0.1357,0.0986,0.2343,0.0003,0.0001,0,0.0001,0,2.4652000000000003,0.0102,0,2.4652000000000003,兰溪供水区,兰溪区,0,0.0,1.1461,1.1461
,金华,磐东供水区,磐安区,,,1195,9.03,9.15,18.18,11.72,45.050000000000004,58.66,115.42999999999999,0,0,34.1,34.1,0,0,22.04,8.0295,1.83,2.3,3.3994999999999997,7.53,3.4499999999999997,0.7900000000000001,0,0,0,0.155,2.4050000000000002,2.5599999999999996,0.2922,0.0246,0,0,0,0,0.3168,0.0001,0,0,0.0001,0,0,0,0,0.3169,0,0.0468,0.0184,0.04260000000000001,0.10779999999999999,0,0.0046,0,0,0,0.0005,0.0028,0.007899999999999999,0,0,0,0.0148,0.0198,0.0346,0,0.0481,0.021900000000000003,0.06999999999999999,0,0.0482,0.04630000000000001,0.0945,0.00015,0.0021,0,0.0021,0,0.3169,0.0001,0,0.3169,磐东供水区,磐安区,0,0.0,0.0246,0.0246
,金华,,东阳区,,,1746.9999999999998,55.11,29.93,85.04,17.45,283.1,337.9,638.4499999999999,0,0,207.3,207.3,0,3.6,46.83,33.285,26.270000000000003,2.22,2.96,31.34,8.1,2.4000000000000004,0,0,1.82,0.21000000000000002,42.2,42.41,2.3134,0.1372,0.023399999999999997,0,0,0,2.4739999999999998,0.0512,0,0,0.0512,0,0,0,0,2.5251999999999994,0,0.9759,0.0232,0.0241,1.0232,0,0.010799999999999999,0,0,0.13749999999999998,0.0004,0.0168,0.16549999999999998,0,0,0.0037,0.4897,0.244,0.7374,0.0512,0.0225,0.1509,0.1734,0,0.2356,0.1212,0.3568,0,0.0395,0.0294,0.0689,0,2.5251999999999994,0.0512,0,2.5251999999999994,,东阳区,0,0.0,0.1606,0.1606
,金华,永武供水区,永康区,,,1047,49.21,27.32,76.53,8.24,341.96000000000004,279.36,629.5600000000001,0,0,319.40000000000003,319.40000000000003,0,1.5,35.21,24.08,22.51,1.42,0.15,24.08,6.08,4.35,0,0,1.6300000000000001,0.03,2.08,2.11,1.6997000000000002,0.0368,0.0828,0,0,0,1.8192999999999997,0.067,0,0,0.067,0.0308,0.0108,0,0.0416,1.9279,0,0.3561,0.0162,0.0015,0.3738,0,0.0354,0,0,0.0405,0.0001,0.0022999999999999995,0.0783,0.0016,0,0.0044,0.5607,0.17179999999999998,0.7369,0.041699999999999994,0.0026999999999999997,0.0804,0.08310000000000001,0.004999999999999999,0.1774,0.08639999999999999,0.26380000000000003,0.0187,0.2016,0.19039999999999999,0.392,0,1.9279,0.067,0,1.9279,永武供水区,永康区,0,0.0,0.1196,0.1196
,金华,,武义区,,,1568,24.369999999999997,11.95,36.32,15.49,132.53,113.52000000000001,261.54,0,0,122.6,122.6,0,2.4,36.44,22.795,20.314999999999998,1.15,0.6900000000000001,22.16,7.49,1.03,0.69,0,0.9199999999999999,0.15000000000000002,23.2,23.35,1.1221999999999999,0.0978,0.0727,0,0,0,1.2927000000000002,0.0508,0,0,0.0508,0,0,0,0,1.3435,0,0.7653,0.016300000000000002,0.012199999999999999,0.7938000000000001,0,0.007,0.0049,0,0.0421,0.0005,0.015399999999999999,0.0699,0.0057,0,0.0051,0.2051,0.0086,0.2188,0.0188,0.009500000000000001,0.0408,0.050300000000000004,0.0114,0.108,0.0519,0.1599,0.0149,0.0343,0.0165,0.0508,0,1.3435,0.0508,0,1.3435,,武义区,0,0.0,0.17049999999999998,0.17049999999999998
