序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,杭州市,建德市,富春江坝址以上,兰江及富春江上游段,3,871.1,4.24,3.7,7.94,8.2,47.31,38.33,93.84,0,36.31,5.98,42.29,0,0,4.861,4.861,3.94,0.11,0.08,4.13,1.42,0.11,0.56,0,0.4127,0.0949,13.69,13.7849,0.0537,0.0261,0.309,0,,0,0.3888,0,0,0,0,0,0,0,0,0.3888,0,0.1683,0.0015,0.0012,0.171,0,0.0017,0.0077,0,0.0326,0.0003,0.0075,0.0498,0,0,0,0.0719,0,0.0719,0,0.0111,0.0399,0.051,0,0.0228,0.0183,0.0411,0,0.0025,0.0015,0.004,0,0.3888,0,0,0.3888,0.38880000000000003,0.3888,0,493.02145257172396,146.61236579044797,,,,,,,,
22,杭州市,建德市,富春江坝址以下,富春江下游段,3,88.5,0.34,0.3,0.64,0.96,5.3,4.2,10.46,0,4.09,0.74,4.83,0,0,0.6501,0.6501,0.36,0.04,0.02,0.42,0.15,0.04,0.26,0,0.0594,0,1.76,1.76,0,0,0.0368,0,,0,0.0368,0,0,0,0,0,0,0,0,0.0368,0,0.0162,0.0006,0.0003,0.0171,0,0.0002,0.0008,0,0.0047,0,0.001,0.0067,0,0,0,0.0059,0,0.0059,0,0.0003,0.0032,0.0035,0,0.0018,0.0015,0.0033,0,0.0001,0.0002,0.0003,0,0.0368,0,0,0.0368,0.0368,0.0368,0,435.13295729250603,155.25114155251143,,,,,,,,
23,杭州市,桐庐县,富春江坝址以上,兰江及富春江上游段,3,146.5,0,0.29,0.29,0.31,2.01,2.07,4.39,0,0,0.29,0.29,0,0,0.4499,0.4499,0.29,0.09,0.0601,0.4401,0.09,0.04,0,0,0.016,0.03,1.16,1.19,0.0032,0.0189,0.0089,0,,0,0.031,0,0,0,0,0,0,0,0,0.031,0,0.0121,0.0013,0.0011,0.0145,0,0.0006,0,0,0.0019,0.0001,0.0004,0.003,0,0,0,0.0014,0,0.0014,0,0.0015,0.0058,0.0073,0,0,0.0015,0.0015,0,0.0031,0.0002,0.0033,0,0.031,0,0,0.031,0.031000000000000003,0.031,0,,160.6046291922532,,,,,,,,
24,杭州市,桐庐县,富春江坝址以下,富春江下游段,3,1633.5,32.26,12.95,45.21,25.8,186.03,197.66,409.49,0.38,107.33,42.13,149.84,0,1.8,21.7651,21.7651,18.9699,1.39,1.13,21.4899,4.7,0.82,0,0,0.994,0.14,17,17.14,0.3899,0.5131,0.6736,0,,0,1.5766,0.0048,0,0,0.0048,0.0347,0.0005,0,0.0352,1.6166,0,0.7845,0.0187,0.0186,0.8218,0,0.0116,0,0,0.1181,0.0005,0.0073,0.1375,0,0,0.0071,0.2005,0,0.2076,0.0013,0.0488,0.1012,0.15,0.0005,0.1809,0.0655,0.2464,0.003,0.0499,0.0034,0.0533,0,1.6166,0.0048,0,1.6166,1.6165999999999998,1.6165999999999998,0,323.39977409574607,145.76611836885812,,,,,,,,
25,杭州市,淳安县,富春江坝址以上,衢江上游,3,16.4,0,0.17,0.17,0.11,0.24,0.55,0.9,0,0,0,0,0,0,0.08,0.08,0.06,0,0.02,0.08,0.03,0,0.04,0,0,0,0.32,0.32,0,0.0028,0.0016,0,,0,0.0044,0,0,0,0,0,0,0,0,0.0044,0,0.0029,0,0.0002,0.0031,0,0,0.0004,0,0,0,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0044,0,0,0.0044,0.0044,0.0044,0,,128.928283642224,,,,,,,,
26,杭州市,淳安县,富春江坝址以上,新安江,3,4369.3,15.94,16.17,32.11,39.57,62.31,147.78,249.66,0.17,28.79,10.7,39.66,0,0.75,13.83,13.83,8.62,1.12,1.68,11.42,4.36,0.03,1.75,0,0.25,0.1,22.19,22.29,0.8311,0.4872,0.0166,0,,0,1.3349,0,0,0,0,0.0268,0,0,0.0268,1.3617,0,0.3998,0.0166,0.0281,0.4445,0,0.0004,0.0197,0,0.015,0.0003,0.0065,0.0419,0,0,0.0023,0.095,0.025,0.1223,0,0.0332,0.5332,0.5664,0,0.0851,0.0774,0.1625,0,0.0241,0,0.0241,0,1.3617,0,0,1.3617,1.3617000000000001,1.3617,0,1161.2038294288513,131.1408747807965,,,,,,,,
27,杭州市,淳安县,富春江坝址以下,富春江下游段,3,66.3,0,0.52,0.52,0.75,1.14,2.72,4.61,0,0,0,0,0,0,0.61,0.61,0.43,0.02,0.01,0.46,0.17,0,0.02,0,0,0,0.36,0.36,0.0022,0.0216,0,0,,0,0.0238,0,0,0,0,0,0,0,0,0.0238,0,0.0206,0.0003,0.0001,0.021,0,0,0.0002,0,0,0,0.0001,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0025,0,0,0,0,0,0.0238,0,0,0.0238,0.0238,0.0238,0,,131.71759747102212,,,,,,,,
28,杭州市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,杭州,"钱塘河口供水区
（江北片）",江北主城区,,,896.0000000000001,514.74,15.73,530.4699999999999,20.54,1975.07,6102.959999999999,8098.57,15.12,1507.06,193.41,1715.5900000000001,0,258.4,15.3,15.3,12.030000000000001,1.05,1.66,14.739999999999998,3.29,2.68,0.66,0,2.2800000000000002,0,9.85,9.85,0,0.3553,1.6120999999999999,5.300599999999999,,0,7.268000000000001,0,0.0001,0,0.0001,0.594,0,0,0.594,7.8621,17.3441,0.3754,0.0101,0.0186,0.4041,0,0.0374,0.0098,0,0.1877,0,0.004,0.2389,0,0,0.0868,0.8413999999999999,0.3684,1.2966000000000002,0.0001,0.41370000000000007,2.4414000000000002,2.8551,0,2.5915,0.0719,2.6634,0,0.38420000000000004,0.0198,0.404,0,7.8621,0.0001,17.3441,25.206200000000003,7.8621,7.8621,0,,1.9673999999999998,19.311500000000002,5.9225,1.2966000000000002,0.643,,,,
,杭州,,余杭区,,,936,95.44999999999999,35.45,130.9,39.74,336.98,2125.48,2502.2,0,248.44,50.95,299.39,0,0,29.560000000000002,29.560000000000002,23.880000000000003,2.62,3.06,29.560000000000002,8.47,7.67,1.02,0,5.38,0.025,41.349999999999994,41.375,0.1652,0.8437000000000001,1.6044,0.75,,0,3.3633,0,0,0,0,0.106,0,0,0.106,3.4693,0,1.2317,0.0392,0.0553,1.3262,0,0.079,0.015,0,0.3612,0.0001,0.0221,0.4774,0,0,0,0.2521,0,0.2521,0,0.1222,0.5308,0.653,0,0.4597,0.1583,0.618,0,0.12090000000000001,0.0217,0.1426,0,3.4693,0,0,3.4693,3.4692999999999996,3.4693,0,,2.4481,2.4481,1.4136,0.2521,1.8036,,,,
