序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
125,金华市,武义县,富春江坝址以上,金华江下游,3,929.4,25.2575,11.102,36.3595,14.07,110.81,105.74,230.62,0.3,74.37,29.04,103.71,0,2.4,29.55,18.536,16.415,0.88,0.65,17.945,6.06,0.61,0.41,0,0.79,0.0806,22.185,22.2656,1.0844,0.0067,0.002,0,,0,1.0931,0.0043,0,0,0.0043,0,0,0,0,1.0974,0,0.6262,0.0127,0.0115,0.6504,0,0.004,0.0032,0,0.0264,0.0003,0.0097,0.0436,0.004,0,0.007,0.1526,0.03,0.1896,0.0003,0.0059,0.0271,0.033,0,0.1068,0.0388,0.1456,0,0.0255,0.0097,0.0352,0,1.0974,0.0043,0,1.0974,1.0974,1.0974,0,,,,,,,,,,,,,,,,,,,,,,,
126,金华市,武义县,瓯江温溪以上,大溪,3,638.6,3.5323,6.3544,9.8867,2.49,19.54,18.68,40.71,0,13.17,5.12,18.29,0,0,6.89,4.259,3.9,0.27,0.04,4.21,1.4,0.42,0.28,0,0.08,0.07,13.305,13.375,0.0681,0.0987,0.0765,0,,0,0.2433,0.0011,0,0,0.0011,0,0,0,0,0.2444,0,0.1503,0.0038,0.0009,0.155,0,0.0031,0.0018,0,0.0036,0.0002,0.0058,0.0145,0.0011,0,0,0.024,0.0013,0.0253,0,0.001,0.0062,0.0072,0,0.0137,0.0186,0.0323,0,0.0041,0.006,0.0101,0,0.2444,0.0011,0,0.2444,0.2444,0.24439999999999998,0,,,,,,,,,,,,,,,,,,,,,,,
127,金华市,磐安县,富春江坝址以上,金华江上游,3,418.5,5.4694,1.7804,7.2498,2.88,18.51,20.48,41.87,0,13.76,0,13.76,0,0,4.88,1.4132,0.32,0.51,0.4,1.23,0.7874,0.25,0,0,0.006,0.03,1.2797,1.3097,0.1011,0.008,0,0,,0,0.1091,0,0,0,0,0,0,0,0,0.1091,0,0.0088,0.0043,0.0019,0.015,0,0.0014,0,0,0.0004,0.0001,0.0008,0.0027,0,0,0,0.0066,0.0087,0.0153,0,0.0223,0.0155,0.0378,0,0.0284,0.0078,0.0362,0,0.0021,0,0.0021,0,0.1091,0,0,0.1091,0.10910000000000002,0.1091,0,,,,,,,,,,,,,,,,,,,,,,,
128,金华市,磐安县,富春江坝址以下,曹娥江百官以上,3,207.4,1.9401,2.7991,4.7392,4.37,11.67,14.99,31.03,0,0,8.67,8.67,0,0,7.64,3.2365,0.36,0.5,2.2395,3.0995,0.88,0.29,0,0,0.004,0.0263,1.09,1.1163,0.1097,0.0025,0,0,,0,0.1122,0,0,0,0,0,0,0,0,0.1122,0,0.0096,0.00415,0.04035,0.0541,0,0.0017,0,0,0.0002,0.0001,0.0006,0.0026,0,0,0,0.0042,0.0071,0.0113,0,0.0158,0.0051,0.0209,0,0.0104,0.0122,0.0226,0,0.0007,0,0.0007,0,0.1122,0,0,0.1122,0.11220000000000001,0.1122,0,,,,,,,,,,,,,,,,,,,,,,,
129,金华市,磐安县,瓯江温溪以下,永安溪,3,140.2,0.3199,0.6241,0.944,1,3.58,7.76,12.34,0,0,2.66,2.66,0,0,1.68,0.5729,0.29,0.15,0.09,0.53,0.476,0.04,0,0,0.001,0.025,0.74,0.765,0.0193,0.0001,0,0,,0,0.0194,0.0001,0,0,0.0001,0,0,0,0,0.0195,0,0.0078,0.0012,0.0006,0.0096,0,0.0003,0,0,0.0001,0.0001,0.0004,0.0009,0,0,0,0.0009,0.0011,0.002,0,0.0018,0.0012,0.003,0,0.0015,0.0024,0.0039,5e-05,0.0001,0,0.0001,0,0.0195,0.0001,0,0.0195,0.0195,0.0195,0,,,,,,,,,,,,,,,,,,,,,,,
130,金华市,磐安县,瓯江温溪以下,始丰溪,3,204.9,0.5057,0.982,1.4877,1.79,4.99,7.8,14.58,0,0,3.7,3.7,0,0,2.96,1.2027,0.4,0.49,0.27,1.16,0.568,0.04,0,0,0.001,0.04,1.029,1.069,0.0261,0.00415,0,0,,0,0.0303,0.0002,0,0,0.0002,0,0,0,0,0.0305,0,0.01075,0.00415,0.0006,0.0155,0,0.0003,0,0,0.0001,0.0001,0.0005,0.001,0,0,0,0.001,0.0019,0.0029,0.000188,0.0026,0.0016,0.0042,0,0.0025,0.0043,0.0068,0,0.0001,0,0.0001,0,0.0305,0.0002,0,0.0305,0.0305,0.0305,0,,,,,,,,,,,,,,,,,,,,,,,
131,金华市,磐安县,瓯江温溪以上,大溪,3,224,1.0836,2.2118,3.2954,2.81,7.29,10.8,20.9,0,0,5.42,5.42,0,0,4.88,1.6042,0.46,0.65,0.4,1.51,0.849,0.17,0,0,0,0.0315,1.015,1.0465,0.0359,0.0129,0,0,,0,0.0488,0.0001,0,0,0.0001,0,0,0,0,0.0489,0,0.012885,0.005856,0.001859,0.0206,0,0.0009,0,0,0,0.0001,0.0005,0.0015,0,0,0,0.0015,0.0026,0.0041,3e-05,0.0049,0.0029,0.0078,0,0.0053,0.0096,0.0149,4e-05,0,0,0,0,0.0489,0.0001,0,0.0489,0.0489,0.048900000000000006,0,,,,,,,,,,,,,,,,,,,,,,,
钱塘江区,金华,金义供水区,金华市区,,,2050,104.09479999999999,42.304199999999994,146.399,36.54,312.17,565.05,913.76,1.5499999999999998,182.97199999999998,61.878,246.4,0,27.125,72.71,65.1277,51.82,4.3100000000000005,7.220000000000001,63.349999999999994,8.04,2.24,6.449999999999999,0.16,1.1600000000000001,12.565,53.9,66.465,2.7754999999999996,0.4615,0.3329,0,,0,3.5698999999999996,0.0838,0,0,0.0838,0,0,0,0,3.6536999999999997,0,1.7142,0.0263,0.0873,1.8277999999999999,0,0.0141,0.045,0.0009,0.0816,0.045700000000000005,0.022,0.2093,0.0107,0,0.0177,0.5347000000000001,0.178,0.7304,0.013600000000000001,0.0481,0.12918,0.1773,0.008700000000000001,0.4415,0.14129999999999998,0.5828,0.0508,0.1261,0,0.1261,0,3.6536999999999997,0.0838,0,3.6536999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,
,金华,,义乌区,,,1105,148.1384,37.8006,185.939,23.759999999999998,422.03000000000003,1039.81,1485.6,0,164.70000000000002,209,373.7,0,0,32.59,25.968,9.9801,8.51,5.050000000000001,23.5401,5.79,5.47,0,0,1.115,0.0095,15.32,15.3295,1.67261,0.5,0.22769999999999999,0,,0,2.4003,0,0,0,0,0.2054,0.0042,0,0.2096,2.6099,0.2582,0.3418,0.116,0.0575,0.5153,0,0.0148,0.013399999999999999,0,0.0742,0,0.0059,0.10830000000000001,0,0,0,0.4942,0.4664,0.9606,0,0.0441,0.155,0.1991,0,0.5454,0.1074,0.6528,0,0.1574,0.0164,0.1738,0,2.6099,0,0.2582,2.8681,,,,,,,,,,,,,,,,,,,,,,,,,,
,金华,兰溪供水区,兰溪区,,,1312,31.816499999999998,25.663700000000002,57.4802,28.3,198.23,173.63,400.15999999999997,36.089999999999996,99.03,46.68,181.8,0,265.5,60.67999999999999,55.2831,34.34,6.18,8.04,48.56,9.92,0,3.1,0,6.15,2.15,26.26,28.409999999999997,1.2043000000000001,0.3152,0.7390000000000001,0,,0,2.2585,0.0018999999999999998,0,0,0.0018999999999999998,0,0,0,0,2.2604,0,1.0534,0.019899999999999998,0.026199999999999998,1.0995,0,0,0.0469,0,0.33740000000000003,0.009600000000000001,0.020800000000000003,0.4147,0,0,0.20240000000000002,0.25460000000000005,0.028399999999999998,0.4854,0.0014999999999999998,0.0045,0.0268,0.0313,0.0003,0.13310000000000002,0.0831,0.2162,0.0001,0.010599999999999998,0.0026999999999999997,0.013300000000000001,0,2.2604,0.0018999999999999998,0,2.2604,,,,,,,,,,,,,,,,,,,,,,,,,,
