日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量	累积时段
2026/03/23	7591.950000000001	3859.8867999999998	427.55000000000007	112.497	4399.9338	3101.2799999999993	1309.7699999999995	3797.719800000001	6898.999799999999	-3808.8359999999993	1329627.0821917807	76438.75217158304	72629.91617158304	76482.56117158305	76482.56117158305	0.0	0.0	0.0	3852.645	0.0	0.0	1558865.0000000002	0.0	43.8090000000002	43.8090000000002	1308236.4388284173	0.0	76482.56117158305	1309.7699999999995	8208.769799999998	4399.9338	4356.124799999999	2026/03/03至2026/03/23
2026/03/24	9320.32	4032.6665999999996	486.9390000000001	117.854	4637.4596	3248.959999999999	1372.1399999999994	3978.5636000000013	7227.523599999999	-3962.2039999999993	1392942.6575342463	80102.13741784889	76139.9334178489	80152.11941784891	80152.11941784891	0.0	0.0	0.0	4012.186	0.0	0.0	1633096.666666667	0.0	49.98199999999997	49.98199999999997	1370505.8805821515	0.0	80152.11941784891	1372.1399999999994	8599.663599999998	4637.4596	4587.477599999998	2026/03/03至2026/03/24
2026/03/25	9339.71	4207.7284	524.0780000000001	123.211	4855.0174	3396.639999999999	1434.5099999999993	4159.407400000001	7556.047399999999	-4135.539999999999	1456258.232876712	83771.69566411476	79636.15566411475	83824.52266411477	83824.52266411477	0.0	0.0	0.0	4188.367	0.0	0.0	1707328.3333333337	0.0	52.82699999999977	52.82699999999977	1432772.4773358856	0.0	83824.52266411477	1434.5099999999993	8990.557399999998	4855.0174	4802.190399999999	2026/03/03至2026/03/25
2026/03/26	11081.509999999998	4373.8372	596.066	128.568	5098.4712	3544.319999999999	1496.8799999999992	4340.251200000001	7884.5711999999985	-4282.979999999999	1519573.8082191776	87444.09891038062	83161.11891038061	87504.08691038063	87504.08691038063	0.0	0.0	0.0	4342.968	0.0	0.0	1781560.0000000005	0.0	59.98799999999983	59.98799999999983	1495031.9130896197	0.0	87504.08691038063	1496.8799999999992	9381.451199999998	5098.4712	5038.483199999999	2026/03/03至2026/03/26
2026/03/27	12890.13	4527.791	702.7330000000001	133.925	5364.449	3691.9999999999986	1559.249999999999	4521.095	8213.094999999998	-4407.895999999999	1582889.3835616433	91123.66315664648	86715.76715664647	91194.5661566465	91194.5661566465	0.0	0.0	0.0	4478.799	0.0	0.0	1855791.6666666672	0.0	70.90300000000025	70.90300000000025	1557280.4338433538	0.0	91194.5661566465	1559.249999999999	9772.344999999998	5364.449	5293.5459999999985	2026/03/03至2026/03/27
2026/03/28	13014.009999999998	4691.4458	772.4590000000001	139.282	5603.1867999999995	3839.6799999999985	1621.619999999999	4701.9388	8541.618799999997	-4560.051999999999	1646204.958904109	94814.14240291234	90254.09040291233	94891.42040291236	94891.42040291236	0.0	0.0	0.0	4637.33	0.0	0.0	1930023.333333334	0.0	77.27800000000025	77.27800000000025	1619522.5795970878	0.0	94891.42040291236	1621.619999999999	10163.238799999997	5603.1867999999995	5525.908799999998	2026/03/03至2026/03/28
2026/03/29	13963.009999999998	4855.970600000001	850.6750000000001	144.639	5851.284599999999	3987.3599999999983	1683.9899999999989	4882.7826	8870.142599999996	-4702.847999999999	1709520.5342465746	98510.99664917821	93808.1486491782	98596.20964917823	98596.20964917823	0.0	0.0	0.0	4788.061	0.0	0.0	2004255.0000000007	0.0	85.21300000000019	85.21300000000019	1681756.790350822	0.0	98596.20964917823	1683.9899999999989	10554.132599999997	5851.284599999999	5766.071599999998	2026/03/03至2026/03/29
2026/03/30	15039.129999999997	5018.8024000000005	940.892	149.996	6109.6903999999995	4135.039999999998	1746.3599999999988	5063.626399999999	9198.666399999995	-4835.335999999999	1772836.1095890403	102215.78589544407	97380.44989544406	102310.65189544408	102310.65189544408	0.0	0.0	0.0	4930.201999999999	0.0	0.0	2078486.6666666674	0.0	94.86599999999999	94.86599999999999	1743981.348104556	0.0	102310.65189544408	1746.3599999999988	10945.026399999997	6109.6903999999995	6014.824399999999	2026/03/03至2026/03/30
2026/03/31	15039.129999999997	5190.3262	992.3090000000001	155.353	6337.9882	4282.719999999998	1808.7299999999987	5244.470199999999	9527.190199999994	-4997.931999999999	1836151.684931506	105930.22814170993	100932.29614170993	106029.72914170995	106029.72914170995	0.0	0.0	0.0	5097.432999999999	0.0	0.0	2152718.333333334	0.0	99.5010000000002	99.5010000000002	1806201.2708582901	0.0	106029.72914170995	1808.7299999999987	11335.920199999997	6337.9882	6238.487199999999	2026/03/03至2026/03/31
2026/04/01	15039.129999999997	5369.523	1024.075	160.71	6554.308	4430.399999999999	1887.2299999999987	5425.3139999999985	9855.713999999993	-5188.635999999999	1899467.2602739716	109649.3053879758	104460.6693879758	109750.93938797581	109750.93938797581	0.0	0.0	0.0	5290.2699999999995	0.0	0.0	2226950.0000000005	0.0	101.63400000000001	101.63400000000001	1868419.0606120243	0.0	109750.93938797581	1887.2299999999987	11742.943999999996	6554.308	6452.673999999998	2026/03/03至2026/04/01
2026/04/02	15039.129999999997	5552.1918000000005	1049.0810000000001	166.067	6767.3398	4578.079999999999	1965.7299999999987	5606.157799999998	10184.237799999992	-5382.627999999999	1962782.8356164373	113370.51563424166	107987.88763424165	113474.00863424168	113474.00863424168	0.0	0.0	0.0	5486.120999999999	0.0	0.0	2301181.666666667	0.0	103.49299999999994	103.49299999999994	1930634.9913657585	0.0	113474.00863424168	1965.7299999999987	12149.967799999995	6767.3398	6663.846799999998	2026/03/03至2026/04/02
2026/04/03	15039.129999999997	5689.5776000000005	1070.104	171.424	6931.1056	4578.079999999999	2044.2299999999987	5787.001599999998	10365.081599999992	-5478.205999999999	2026098.410958903	117093.58488050752	111615.3788805075	117200.26868050754	117200.26868050754	0.0	0.0	0.0	5584.889799999999	0.0	0.0	2375413.3333333335	0.0	106.68380000000025	106.68380000000025	1992847.7313194927	0.0	117200.26868050754	2044.2299999999987	12409.311599999995	6931.1056	6824.421799999998	2026/03/03至2026/04/03
